Year,SSB
1946,61104
1947,80460
1948,103496
1949,111881
1950,117596
1951,129241
1952,132384
1953,137908
1954,132019
1955,133137
1956,137334
1957,127961
1958,111976
1959,93023
1960,78529
1961,78880
1962,82265
1963,80550
1964,87482
1965,100522
1966,109504
1967,125250
1968,129940
1969,127506
1970,120599
1971,113719
1972,115754
1973,137581
1974,189358
1975,238145
1976,237914
1977,244151
1978,302127
1979,398005
1980,447717
1981,413034
1982,438851
1983,438149
1984,374175
1985,281607
1986,195008
1987,150848
1988,142784
1989,119434
1990,89758
1991,57757
1992,61420
1993,103428
1994,120209
1995,131609
1996,93180
1997,62740
1998,55725
1999,51891
2000,61631
2001,75266
2002,84111
2003,85225
2004,74205
2005,92100
2006,91452
2007,89606
2008,127427
2009,139592
2010,143031
2011,127333
2012,102702
2013,96851
2014,105503
2015,126145
2016,113509
2017,93161
2018,90045
2019,84527
2020,68652
