Year,1,2,3,4,5,6,7,8,9,10
1959,20410,11751,12114,2385,4285,596,509,155,25,0
1960,18649,16926,8600,5975,1174,1880,335,229,97,12
1961,26599,14332,8081,3653,2513,513,697,141,69,40
1962,27347,22814,7879,3615,1838,1114,233,220,51,42
1963,19886,23519,13865,3812,1777,761,493,124,80,39
1964,11213,16880,13433,7347,1825,870,346,220,77,54
1965,17857,7922,12852,7998,3730,885,393,132,121,57
1966,22691,15097,5071,7909,4091,1611,382,187,64,76
1967,21018,19431,12527,3417,5113,2124,708,124,66,57
1968,12609,18303,15844,8614,2408,3088,996,295,34,51
1969,8765,10109,14028,10820,4569,1224,1622,401,168,37
1970,9818,6706,6656,8583,6059,2256,574,772,131,85
1971,19072,7434,5038,3857,4717,3632,1177,246,428,103
1972,18010,17298,7253,3703,2312,2585,1622,497,86,284
1973,39193,13097,15427,5882,2532,1378,986,692,283,221
1974,40063,35723,8970,9095,3510,1583,926,435,353,238
1975,24443,35295,25937,6679,6179,2122,819,406,228,298
1976,11089,20872,23630,13734,3551,3341,1103,473,154,208
1977,12905,7942,15007,17828,7681,1635,1622,394,211,37
1978,15465,10521,6581,8838,9231,2911,630,451,131,99
1979,24217,12190,8303,4978,4611,4740,1303,273,162,80
1980,17725,22089,10696,5128,2768,2249,2205,687,114,64
1981,26781,13093,18154,6778,2767,1480,1070,1116,310,106
1982,36730,22230,9923,10585,3838,1365,683,413,482,216
1983,56864,29559,18417,6778,5880,2179,747,271,183,225
1984,20579,57229,20511,9430,3326,2406,798,214,81,147
1985,7811,16735,38003,10621,4052,1430,1215,392,99,115
1986,8524,5504,13666,21067,5048,1687,449,314,96,66
1987,11368,6783,5827,7681,8893,2036,581,140,114,51
1988,20574,8912,7070,4402,3697,4317,921,277,51,47
1989,6048,21804,7009,4496,2149,1711,1638,333,102,21
1990,5812,4185,12717,3732,1827,812,557,471,95,42
1991,7878,4532,2690,6534,1633,703,304,185,129,48
1992,8343,6680,3507,1698,2872,735,282,125,71,75
1993,23749,5936,6447,2875,908,1271,298,99,58,67
1994,43607,20693,6287,5099,2131,508,688,141,44,60
1995,11699,46567,17012,6135,3691,1522,341,524,94,84
1996,4911,8738,31293,12952,3508,2543,940,194,396,77
1997,7037,4309,6340,21302,6987,1122,926,269,43,146
1998,16449,6583,3364,4478,11548,2806,283,150,48,33
1999,29076,13767,5417,2499,2724,4913,763,84,24,12
2000,42578,25998,10689,2959,1358,1706,1945,164,18,3
2001,18457,44391,16079,6621,1370,922,1206,752,54,9
2002,9043,16870,26494,8550,3461,795,625,545,301,13
2003,4381,6690,8568,12718,3769,1191,267,156,158,45
2004,6819,3126,3813,4278,4969,1291,340,86,57,56
2005,9531,6179,2531,2556,2722,1834,386,80,24,34
2006,6338,9631,3737,1414,1390,1295,568,109,21,8
2007,5707,5225,4802,2134,823,648,477,178,45,7
2008,13506,4071,3840,2479,1317,472,284,201,93,28
2009,21720,8748,5887,2332,1515,738,216,106,81,37
2010,6946,17189,6839,2611,1077,797,335,97,45,43
2011,1120,4896,9459,3640,1000,439,284,101,39,9
2012,2669,750,2468,4644,1520,366,172,106,33,25
2013,9528,1843,1120,1438,2163,591,110,54,28,11
2014,3238,8486,2519,972,1177,1009,235,47,25,5
2015,5994,2755,5829,1890,610,672,447,105,28,13
2016,8490,4980,2697,3585,968,354,316,155,40,8
2017,23457,6269,3254,2340,2338,561,215,136,61,23
2018,32711,20388,5412,2541,1646,1553,341,120,77,43
