Year,Landings,catch
1960,10853,10853
1961,14731,14731
1962,23486,23486
1963,27189,27189
1964,25165,25165
1965,38333,38333
1966,53134,53134
1967,36752,36752
1968,43136,43136
1969,37939,37939
1970,25652,25652
1971,28179,28179
1972,25059,25059
1973,28923,28923
1974,27331,27331
1975,25008,25008
1976,19926,19926
1977,27367,27367
1978,35356,40700
1979,38624,44153
1980,48119,53652
1981,42357,48252
1982,57160,62085
1983,48887,53968
1984,38676,40368
1985,37270,43055
1986,25994,27378
1987,30879,32540
1988,39051,42491
1989,32951,34913
1990,42474,44507
1991,37687,39320
1992,28566,29800
1993,23116,26105
1994,15013,16009
1995,8128,9924
1996,9185,9825
1997,10467,12373
1998,8948,10333
1999,10131,10982
2000,9172,10263
2001,12892,13705
2002,10750,11357
2003,8169,8930
2004,4621,5171
2005,3384,5030
2006,3796,4435
2007,4807,5660
2008,4645,5160
2009,4002,4643
2010,3436,3950
2011,4089,4472
