Year,1,2,3,4,5,6,7,8,9,10+
1970,0.03,0.20,0.69,0.95,0.99,1.00,1.00,1.00,1.00,1.00
1971,0.03,0.20,0.69,0.95,0.99,1.00,1.00,1.00,1.00,1.00
1972,0.02,0.20,0.73,0.97,1.00,1.00,1.00,1.00,1.00,1.00
1973,0.02,0.19,0.70,0.96,1.00,1.00,1.00,1.00,1.00,1.00
1974,0.02,0.17,0.68,0.96,1.00,1.00,1.00,1.00,1.00,1.00
1975,0.05,0.25,0.67,0.93,0.99,1.00,1.00,1.00,1.00,1.00
1976,0.06,0.28,0.71,0.94,0.99,1.00,1.00,1.00,1.00,1.00
1977,0.09,0.34,0.73,0.94,0.99,1.00,1.00,1.00,1.00,1.00
1978,0.08,0.33,0.75,0.95,0.99,1.00,1.00,1.00,1.00,1.00
1979,0.07,0.34,0.78,0.96,0.99,1.00,1.00,1.00,1.00,1.00
1980,0.09,0.38,0.79,0.96,0.99,1.00,1.00,1.00,1.00,1.00
1981,0.09,0.38,0.79,0.96,0.99,1.00,1.00,1.00,1.00,1.00
1982,0.08,0.36,0.79,0.96,0.99,1.00,1.00,1.00,1.00,1.00
1983,0.08,0.41,0.85,0.98,1.00,1.00,1.00,1.00,1.00,1.00
1984,0.13,0.49,0.87,0.98,1.00,1.00,1.00,1.00,1.00,1.00
1985,0.18,0.59,0.91,0.99,1.00,1.00,1.00,1.00,1.00,1.00
1986,0.16,0.58,0.91,0.99,1.00,1.00,1.00,1.00,1.00,1.00
1987,0.20,0.59,0.89,0.98,1.00,1.00,1.00,1.00,1.00,1.00
1988,0.25,0.64,0.90,0.98,1.00,1.00,1.00,1.00,1.00,1.00
1989,0.20,0.61,0.91,0.98,1.00,1.00,1.00,1.00,1.00,1.00
1990,0.12,0.46,0.85,0.97,1.00,1.00,1.00,1.00,1.00,1.00
1991,0.13,0.53,0.89,0.98,1.00,1.00,1.00,1.00,1.00,1.00
1992,0.09,0.47,0.89,0.99,1.00,1.00,1.00,1.00,1.00,1.00
1993,0.04,0.43,0.93,1.00,1.00,1.00,1.00,1.00,1.00,1.00
1994,0.04,0.41,0.92,1.00,1.00,1.00,1.00,1.00,1.00,1.00
1995,0.04,0.50,0.96,1.00,1.00,1.00,1.00,1.00,1.00,1.00
1996,0.05,0.48,0.95,1.00,1.00,1.00,1.00,1.00,1.00,1.00
1997,0.10,0.57,0.94,0.99,1.00,1.00,1.00,1.00,1.00,1.00
1998,0.09,0.56,0.94,1.00,1.00,1.00,1.00,1.00,1.00,1.00
1999,0.07,0.51,0.93,0.99,1.00,1.00,1.00,1.00,1.00,1.00
2000,0.07,0.51,0.94,1.00,1.00,1.00,1.00,1.00,1.00,1.00
2001,0.08,0.50,0.93,0.99,1.00,1.00,1.00,1.00,1.00,1.00
2002,0.07,0.43,0.88,0.99,1.00,1.00,1.00,1.00,1.00,1.00
2003,0.04,0.33,0.84,0.98,1.00,1.00,1.00,1.00,1.00,1.00
2004,0.07,0.38,0.83,0.98,1.00,1.00,1.00,1.00,1.00,1.00
2005,0.06,0.36,0.83,0.98,1.00,1.00,1.00,1.00,1.00,1.00
2006,0.05,0.35,0.84,0.98,1.00,1.00,1.00,1.00,1.00,1.00
2007,0.04,0.37,0.88,0.99,1.00,1.00,1.00,1.00,1.00,1.00
2008,0.04,0.35,0.86,0.99,1.00,1.00,1.00,1.00,1.00,1.00
2009,0.03,0.31,0.87,0.99,1.00,1.00,1.00,1.00,1.00,1.00
2010,0.02,0.27,0.85,0.99,1.00,1.00,1.00,1.00,1.00,1.00
2011,0.02,0.25,0.83,0.99,1.00,1.00,1.00,1.00,1.00,1.00
2012,0.02,0.21,0.82,0.99,1.00,1.00,1.00,1.00,1.00,1.00
