Year,Landings,Catch
1982,16282.6,17096.2
1983,15640.2,16486.8
1984,11992.1,12867.6
1985,13411.2,14390.9
1986,11598.0,12572.4
1987,11073.4,12005.4
1988,9636.7,10333.2
1989,12507.9,13370.8
1990,17686.4,19313.7
1991,20246.2,20978.1
1992,11643.0,12347.0
1993,9378.6,9960.4
1994,8751.9,9060.1
1995,7234.0,7565.6
1996,7518.4,7756.7
1997,5668.4,5814.3
1998,4427.4,4578.1
1999,1984.6,3078.1
2000,4738.9,5822.7
2001,6282.0,8054.9
2002,4893.1,6509.1
2003,5473.3,6496.7
2004,4933.2,5765.7
2005,4904.5,5441.3
2006,3731.7,4268.0
2007,5032.0,5527.3
2008,6710.7,7375.2
2009,7310.0,8354.7
2010,7114.6,7669.9
2011,6397.0,6830.0
