Year,0,1,2,3,4,5,6,7,8,9+
1982,0.012,0.356,0.858,1.514,2.606,5.067,7.065,9.620,9.771,15.664
1983,0.024,0.224,0.768,1.542,2.418,3.808,6.055,6.071,10.317,13.325
1984,0.001,0.234,0.653,1.478,2.678,3.609,5.540,8.368,10.138,14.828
1985,0.039,0.206,0.733,1.404,2.819,4.658,5.884,8.502,11.244,13.676
1986,0.005,0.277,0.501,1.698,2.774,4.778,6.504,8.109,10.206,14.646
1987,0.004,0.154,0.642,1.323,3.090,4.668,7.259,10.036,11.099,14.582
1988,0.003,0.122,0.577,1.666,2.360,5.205,5.200,6.193,10.103,12.993
1989,0.046,0.236,0.752,1.518,2.959,4.282,5.980,9.276,12.519,20.913
1990,0.021,0.193,0.811,1.349,2.141,4.474,7.721,10.820,11.750,18.718
1991,0.014,0.236,1.113,1.601,2.281,3.894,7.144,10.429,12.261,14.031
1992,0.023,0.055,1.033,1.530,2.747,2.976,5.587,10.921,10.483,14.483
1993,0.021,0.081,0.690,1.748,2.150,4.420,5.670,9.817,13.673,15.701
1994,0.022,0.058,0.730,1.712,3.085,3.251,6.335,7.684,12.542,11.846
1995,0.027,0.103,1.288,1.591,2.649,5.090,6.865,11.466,13.128,22.443
1996,0.033,0.100,1.293,2.096,2.260,3.462,7.558,11.728,14.455,16.269
1997,0.017,0.064,1.351,2.128,3.022,3.074,4.699,9.000,12.156,16.938
1998,0.008,0.202,1.071,1.931,2.633,3.972,4.255,7.122,12.118,16.676
1999,0.052,0.222,0.635,1.723,2.777,3.892,5.670,6.704,9.811,12.279
2000,0.030,0.282,1.081,2.150,3.316,4.325,5.898,5.352,9.331,12.680
2001,0.045,0.316,0.890,2.176,3.144,4.666,6.140,7.273,9.072,9.559
2002,0.032,0.185,0.795,1.797,2.906,3.792,6.132,6.969,8.808,12.205
2003,0.038,0.202,0.809,1.843,2.378,3.654,5.112,7.649,9.191,12.058
2004,0.025,0.111,0.483,1.606,2.965,3.547,5.350,7.220,9.764,13.303
2005,0.027,0.126,0.558,1.625,2.401,4.233,4.502,6.349,8.002,12.549
2006,0.071,0.289,0.648,1.493,2.932,3.357,4.463,5.562,7.430,12.146
2007,0.025,0.220,0.744,1.731,2.922,3.735,4.771,6.167,7.302,12.394
2008,0.085,0.247,0.862,2.179,2.818,3.530,3.988,5.819,7.528,12.044
2009,0.032,0.337,0.911,2.153,3.126,3.575,4.368,5.959,8.000,12.887
2010,0.023,0.264,1.200,1.995,3.203,3.914,4.447,5.708,8.730,11.612
2011,0.086,0.329,0.933,2.056,2.874,3.870,4.839,5.717,5.953,12.984
