Year,0,1,2,3,4,5,6,7,8,9
1982,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
1983,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
1984,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
1985,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
1986,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
1987,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
1988,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
1989,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
1990,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
1991,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
1992,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
1993,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
1994,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
1995,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
1996,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
1997,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
1998,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
1999,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
2000,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
2001,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
2002,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
2003,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
2004,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
2005,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
2006,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
2007,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
2008,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
2009,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
2010,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
2011,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
2012,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
2013,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
2014,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
2015,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
2016,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
