Year,F5_10
1955,0.29
1956,0.29
1957,0.31
1958,0.35
1959,0.32
1960,0.37
1961,0.35
1962,0.38
1963,0.46
1964,0.55
1965,0.57
1966,0.59
1967,0.56
1968,0.72
1969,0.56
1970,0.61
1971,0.68
1972,0.69
1973,0.7
1974,0.76
1975,0.81
1976,0.74
1977,0.59
1978,0.47
1979,0.44
1980,0.49
1981,0.66
1982,0.73
1983,0.71
1984,0.64
1985,0.66
1986,0.77
1987,0.86
1988,0.89
1989,0.71
1990,0.69
1991,0.79
1992,0.84
1993,0.86
1994,0.61
1995,0.5
1996,0.5
1997,0.53
1998,0.63
1999,0.71
2000,0.71
2001,0.71
2002,0.62
2003,0.59
2004,0.59
2005,0.56
2006,0.54
2007,0.5
2008,0.39
2009,0.39
2010,0.32
2011,0.29
2012,0.29
2013,0.3
2014,0.28
2015,0.26
2016,0.27
2017,0.26
2018,NA
2019,NA
2020,NA
