Year,0,1,2,3,4,5,6+
1968,1.7000,0.7140,0.3550,0.2320,0.2130,0.2020,0.2000
1969,1.7000,0.7140,0.3550,0.2320,0.2130,0.2020,0.2000
1970,1.7000,0.7140,0.3550,0.2320,0.2130,0.2020,0.2000
1971,1.7000,0.7140,0.3550,0.2320,0.2130,0.2020,0.2000
1972,1.7000,0.7140,0.3550,0.2320,0.2130,0.2020,0.2000
1973,1.7000,0.7140,0.3550,0.2320,0.2130,0.2020,0.2000
1974,1.7000,0.7140,0.3550,0.2320,0.2130,0.2020,0.2000
1975,1.7000,0.7140,0.3550,0.2320,0.2130,0.2020,0.2000
1976,1.7000,0.7140,0.3550,0.2320,0.2130,0.2020,0.2000
1977,1.7000,0.7140,0.3550,0.2320,0.2130,0.2020,0.2000
1978,1.7000,0.7140,0.3550,0.2320,0.2130,0.2020,0.2000
1979,1.7000,0.7140,0.3550,0.2320,0.2130,0.2020,0.2000
1980,1.7000,0.7140,0.3550,0.2320,0.2130,0.2020,0.2000
1981,1.7000,0.7140,0.3550,0.2320,0.2130,0.2020,0.2000
1982,1.7000,0.7140,0.3550,0.2320,0.2130,0.2020,0.2000
1983,1.7000,0.7140,0.3550,0.2320,0.2130,0.2020,0.2000
1984,1.7000,0.7140,0.3550,0.2320,0.2130,0.2020,0.2000
1985,1.7000,0.7140,0.3550,0.2320,0.2130,0.2020,0.2000
1986,1.7000,0.7140,0.3550,0.2320,0.2130,0.2020,0.2000
1987,1.7000,0.7140,0.3550,0.2320,0.2130,0.2020,0.2000
1988,1.7000,0.7140,0.3550,0.2320,0.2130,0.2020,0.2000
1989,1.7000,0.7140,0.3550,0.2320,0.2130,0.2020,0.2000
1990,1.7000,0.7140,0.3550,0.2320,0.2130,0.2020,0.2000
1991,1.7000,0.7140,0.3550,0.2320,0.2130,0.2020,0.2000
1992,1.7000,0.7140,0.3550,0.2320,0.2130,0.2020,0.2000
1993,1.7000,0.7140,0.3550,0.2320,0.2130,0.2020,0.2000
1994,1.7000,0.7140,0.3550,0.2320,0.2130,0.2020,0.2000
1995,1.7000,0.7140,0.3550,0.2320,0.2130,0.2020,0.2000
1996,1.7000,0.7140,0.3550,0.2320,0.2130,0.2020,0.2000
1997,1.7000,0.7140,0.3550,0.2320,0.2130,0.2020,0.2000
1998,1.7000,0.7140,0.3550,0.2320,0.2130,0.2020,0.2000
1999,1.7000,0.7140,0.3550,0.2320,0.2130,0.2020,0.2000
2000,1.7000,0.7140,0.3550,0.2320,0.2130,0.2020,0.2000
2001,1.7000,0.7140,0.3550,0.2320,0.2130,0.2020,0.2000
2002,1.7000,0.7140,0.3550,0.2320,0.2130,0.2020,0.2000
2003,1.7000,0.7140,0.3550,0.2320,0.2130,0.2020,0.2000
2004,1.7000,0.7140,0.3550,0.2320,0.2130,0.2020,0.2000
2005,1.7000,0.7140,0.3550,0.2320,0.2130,0.2020,0.2000
2006,1.7000,0.7140,0.3550,0.2320,0.2130,0.2020,0.2000
2007,1.7000,0.7140,0.3550,0.2320,0.2130,0.2020,0.2000
2008,1.7000,0.7140,0.3550,0.2320,0.2130,0.2020,0.2000
2009,1.7000,0.7140,0.3550,0.2320,0.2130,0.2020,0.2000
2010,1.7000,0.7140,0.3550,0.2320,0.2130,0.2020,0.2000
2011,1.7000,0.7140,0.3550,0.2320,0.2130,0.2020,0.2000
2012,1.7000,0.7140,0.3550,0.2320,0.2130,0.2020,0.2000
2013,1.7000,0.7140,0.3550,0.2320,0.2130,0.2020,0.2000
2014,1.7000,0.7140,0.3550,0.2320,0.2130,0.2020,0.2000
2015,1.7000,0.7140,0.3550,0.2320,0.2130,0.2020,0.2000
2016,1.7000,0.7140,0.3550,0.2320,0.2130,0.2020,0.2000
2017,1.7000,0.7140,0.3550,0.2320,0.2130,0.2020,0.2000
