Year,1,2,3,4,5,6,7,8+
1971,0.059,0.355,0.919,1.673,2.518,3.553,5.34,6.635
1972,0.059,0.355,0.919,1.673,2.518,3.553,5.34,6.635
1973,0.059,0.355,0.919,1.673,2.518,3.553,5.34,6.635
1974,0.059,0.355,0.919,1.673,2.518,3.553,5.34,6.635
1975,0.059,0.355,0.919,1.673,2.518,3.553,5.34,6.635
1976,0.059,0.355,0.919,1.673,2.518,3.553,5.34,6.635
1977,0.059,0.355,0.919,1.673,2.518,3.553,5.34,6.635
1978,0.059,0.355,1.006,1.69,2.86,4.12,5.18,6.9
1979,0.059,0.35,0.934,1.89,2.215,3.382,7.314,6.101
1980,0.058,0.361,0.817,1.44,2.478,3.157,3.526,6.903
1981,0.051,0.323,0.965,1.432,2.076,3.532,4.42,4.644
1982,0.05,0.317,1.06,1.391,2.078,2.911,3.698,6.48
1983,0.05,0.304,0.971,1.943,3.348,3.141,5.301,6.325
1984,0.06,0.301,0.974,1.687,2.798,3.022,5.273,7.442
1985,0.051,0.339,0.848,1.614,2.575,4.09,6.847,7.133
1986,0.056,0.285,1.077,1.955,2.956,4.038,7.1,7.29
1987,0.041,0.289,0.961,1.972,2.868,4.2,5.185,8.288
1988,0.045,0.317,0.945,1.792,2.88,4.283,5.852,7.073
1989,0.052,0.372,1.091,2.296,3.856,5.733,5.166,6.527
1990,0.052,0.393,1.362,2.323,3.288,5.383,6.412,10.337
1991,0.06,0.415,1.799,2.986,4.548,4.179,9.127,12.055
1992,0.052,0.34,1.191,2.662,4.048,5.888,7.067,7.895
1993,0.056,0.353,1.086,2.321,4.97,7.566,9.391,8.705
1994,0.035,0.269,1.225,2.652,3.526,7.279,9.793,10.13
1995,0.032,0.148,1.31,1.947,2.404,3.537,9.973,10.708
1996,0.027,0.22,0.496,1.771,2.638,3.773,4.677,7.871
1997,0.034,0.179,0.743,1.95,2.806,3.877,5.756,7.213
1998,0.049,0.213,0.442,1.68,2.497,4.317,6.669,8.948
1999,0.046,0.207,0.625,1.616,2.588,4.665,5.376,8.04
2000,0.046,0.176,0.624,1.332,2.779,3.944,5.069,9.02
2001,0.065,0.269,0.72,1.585,2.597,4.693,7.117,7.691
2002,0.045,0.29,1.334,2.052,3.539,4.814,6.915,7.833
2003,0.066,0.224,1.054,2.46,3.75,5.923,7.835,10.891
2004,0.052,0.407,1.007,1.63,2.7,3.916,6.181,9.423
2005,0.058,0.349,1.187,2.343,3.584,5.442,6.439,8.307
2006,0.064,0.280,1.083,3.130,3.995,4.222,5.264,6.713
2007,0.058,0.289,1.060,2.275,3.344,3.829,1.802,7.897
2008,0.045,0.335,1.010,3.210,4.097,4.437,5.552,5.827
2009,0.053,0.300,1.069,2.651,4.069,4.693,4.870,5.792
2010,0.052,0.285,1.171,3.081,4.038,3.592,4.252,6.404
2011,0.051,0.269,0.905,2.695,3.372,4.997,4.059,7.569
2012,0.044,0.251,0.923,3.174,4.004,5.224,4.305,6.921
2013,0.041,0.255,1.043,2.545,3.726,3.310,5.100,NA
2014,0.049,0.285,1.050,2.541,3.869,5.431,NA,NA
2015,0.055,0.311,1.036,2.023,3.385,2.873,NA,NA
2016,0.045,0.338,1.041,2.448,2.72,3.665,NA,NA
2017,0.037,0.275,0.993,2.91,3.353,3.858,NA,NA
