Year,2,3,4,5,6,7,8+
1983,0.43,0.38,0.38,0.4,0.38,0.42,0.36
1984,0.42,0.37,0.34,0.35,0.36,0.44,0.48
1985,0.45,0.37,0.32,0.33,0.33,0.44,0.41
1986,0.38,0.3,0.25,0.26,0.29,0.33,0.29
1987,0.49,0.42,0.36,0.4,0.56,0.66,0.49
1988,0.35,0.29,0.25,0.26,0.34,0.44,0.34
1989,0.3,0.26,0.23,0.23,0.27,0.37,0.33
1990,0.47,0.4,0.33,0.31,0.37,0.52,0.6
1991,0.59,0.63,0.56,0.79,1.11,1.77,2.08
1992,1.05,1.18,1.35,2.06,2.43,3.18,2.53
1993,0.89,1.18,1.37,2.4,2.82,3.29,2.25
1994,1.26,1.72,1.56,2.37,2.31,2.21,1.52
1995,0.45,0.37,0.29,0.3,0.27,0.29,0.27
1996,0.59,0.58,0.37,0.37,0.31,0.34,0.37
1997,0.64,0.64,0.55,0.41,0.35,0.32,0.31
1998,0.57,0.53,0.52,0.51,0.32,0.26,0.21
1999,0.43,0.39,0.41,0.52,0.41,0.27,0.17
2000,0.63,0.68,0.71,0.91,0.81,0.6,0.28
2001,0.84,0.92,1.09,1.16,0.98,0.69,0.35
2002,1,1.16,1.2,0.98,0.69,0.57,0.41
2003,0.84,0.98,1.05,1.05,0.73,0.51,0.39
2004,0.3,0.27,0.31,0.38,0.37,0.4,0.27
2005,0.25,0.2,0.2,0.28,0.32,0.36,0.26
2006,0.26,0.22,0.22,0.28,0.41,0.52,0.39
2007,0.33,0.3,0.34,0.45,0.49,0.65,0.49
2008,0.4,0.38,0.46,0.57,0.59,0.55,0.47
2009,0.48,0.47,0.57,0.62,0.58,0.58,0.59
2010,0.64,0.63,0.85,0.88,0.58,0.55,0.55
2011,0.37,0.33,0.37,0.41,0.33,0.34,0.35
2012,0.3,0.23,0.21,0.22,0.2,0.23,0.22
2013,0.25,0.2,0.18,0.19,0.19,0.25,0.26
2014,0.29,0.24,0.23,0.25,0.28,0.41,0.45
2015,0.31,0.26,0.25,0.25,0.26,0.33,0.33
