Year,1,2,3,4,5,6,7,8,9,10,11,12
2001,23,29.6,35.1,44.1,50,55,57,,,,,
2002,21.1,28,37.5,43.6,45.9,41,,,,,,
2003,20.2,31.6,38.2,43.2,50.7,61.4,,,,,,
2004,22.6,31.1,38.1,45.7,50.3,55.7,,,,,,
2005,22.7,28.9,36.5,43.3,51.1,52.8,66,,,,,
2006,22,27.4,35.6,43.6,48.2,57.9,,74,,,,
2007,22,27.4,36.5,43.3,52.2,57.2,62,,,,,
2008,22.1,27.9,35.8,45,43.8,59.2,59.4,,67,,,
2009,20.9,29.4,37.2,44.2,52.5,57.7,59,,,,,
2010,21.5,31.2,39.4,44.5,47.4,58.8,67.7,,,,,
2011,21.8,31,36.9,45.5,49.9,56.3,63,,,,,
2012,22.8,32,41.5,46,55,58.3,63.5,76.7,80,,95,
2013,20.9,30,35,48,51.4,61.4,64.7,70.7,82,,93.9,
2014,20.8,29.7,36.8,42.4,53.5,56.1,63.4,64.3,70.1,92,,
2015,22.7,29.3,38,45.4,51.1,58.6,58.5,67.1,72.8,72.5,75,
