Year,1,2,3,4,5,6,7,8,9,10,11,12
2001,18.4,29,36.7,45,51.5,58.4,65.9,67.9,75.1,,91,101
2002,20.6,29.6,38.8,47.3,56.5,63,68,,,,,97
2003,17.7,29.1,39.8,50.1,51,60.5,70,,71,,89,
2004,20.1,29,37.3,48,50.1,58.9,72,57,69,82,,
2005,18.6,29.8,38.6,43.9,49.6,59.5,61,65.7,,,,
2006,18.1,28.2,38.9,46.5,51,54.3,72,63,87.7,81.5,,75
2007,18.2,26.8,38.6,47.3,55.1,59.9,67.1,78.1,93.6,90,,100
2008,19.2,29.4,36.9,46.6,53.9,62.1,67.6,67.8,,64.5,75.8,103.3
2009,19.5,28.8,39,43.5,50.3,58.4,64.8,73.9,77,,104,105
2010,20.1,29,37.8,44,49.9,56.2,64.5,71,81.5,,,
2011,18.4,31.6,39.9,46.1,53.5,57.9,65.4,71.3,74,70.7,77.5,
2012,18.7,29.3,41.1,47.3,53.6,59.4,63.6,70.8,76.6,83,84.6,103
2013,18.8,28.7,38.9,48.6,54.1,61.2,65.7,70.6,74.3,77.3,84.7,89.2
2014,18.5,28.6,38.5,46.3,55.1,60.6,68.5,70.5,74.9,84.6,81,87.3
2015,20.8,27,35.1,43.7,51.6,58.7,66.6,68.9,77.4,81.6,82,83.6
