Year,1,2,3,4,5,6,7,8+
1988,1,3500,25593,11161,1399,414,315,162
1989,0,52,15399,23233,9373,943,220,205
1990,7,254,2180,15740,10824,2286,378,117
1991,1,561,5196,1960,3151,1688,368,76
1992,0,15517,10180,4865,3399,2483,1106,472
1993,0,2657,14530,3547,931,284,426,213
1994,0,1358,28303,9218,430,206,16,203
1995,0,0,192,4773,2003,474,98,169
1996,0,81,714,311,1072,88,0,0
1997,0,0,1016,956,179,359,60,0
1998,0,0,8,170,286,30,19,2
1999,0,0,15,15,96,60,3,1
2000,0,0,54,1,1,4,1,0
2001,0,9,0,4,2,0,2,2
2002,NA,NA,NA,NA,NA,NA,NA,NA
2003,NA,NA,NA,NA,NA,NA,NA,NA
2004,NA,NA,NA,NA,NA,NA,NA,NA
2005,NA,NA,NA,NA,NA,NA,NA,NA
2006,0,22,19,81,2,10,2,0
2007,0,2,30,1,27,1,14,5
2008,1,89,136,133,3,40,1,3
2009,0,23,51,210,108,0,32,7
2010,34,452,1145,1498,808,388,4,103
2011,18,537,1608,701,1144,961,354,275
2012,39,389,1443,834,1013,739,357,344
2013,22,646,4169,962,1124,755,521,388
2014,7,13,730,4131,1464,871,556,405
2015,0,94,402,1548,1457,2596,602,480
2016,0,40,883,731,1822,1167,939,757
2017,0,2,130,122,771,1940,1594,649
