Year,1,2,3,4,5,6,7,8+
1988,62566,144780,98667,30629,4332,954,703,279
1989,123085,16183,76882,48621,13107,1755,346,322
1990,109808,31691,8559,37027,16915,4824,552,201
1991,378437,28476,16691,4038,11428,5210,975,193
1992,305060,97297,14939,8592,1929,5107,2067,435
1993,20626,78503,45538,3898,1531,252,846,250
1994,37947,5285,39005,16091,963,396,38,332
1995,15898,9787,2354,10158,2153,186,72,94
1996,985,4110,4370,946,1763,254,13,14
1997,862,254,2114,2363,442,672,70,8
1998,1434,222,123,829,781,87,61,9
1999,217,374,114,69,461,376,36,34
2000,3987,56,195,63,44,280,209,46
2001,9480,1036,30,119,47,33,191,183
2002,919,2446,554,18,88,34,22,261
2003,24862,237,1316,368,14,66,24,193
2004,759,6416,127,892,281,10,46,148
2005,54653,195,3447,88,684,216,7,135
2006,88734,14076,105,2373,67,525,150,97
2007,120800,22784,7572,67,1744,49,356,172
2008,107008,31010,12293,5185,50,1314,34,369
2009,151489,27358,16682,8362,3855,37,886,268
2010,259836,39036,14755,11413,6258,2861,25,806
2011,455238,67542,20860,9495,7649,3960,1657,461
2012,363180,116907,35815,13138,6468,4705,2102,1060
2013,69224,93687,62670,23225,9339,4268,2679,1699
2014,90916,17683,50110,40672,16520,6191,2422,2367
2015,32879,23289,9537,33492,28926,11515,3669,2715
2016,2357,8322,12471,6273,23903,19794,6665,3631
2017,24865,610,4434,8100,4493,16260,12195,5939
