Year,1,2,3,4,5,6,7,8+
1972,16500,22610,4637,39410,18460,8369,3486,3447
1973,57320,14050,19260,3678,15760,4276,1054,1304
1974,113400,48820,11970,14510,3004,2576,426,398
1975,21130,96655,41580,4659,2063,487,435,392
1976,9332,18010,82395,28890,1711,605,194,15
1977,2755,7948,15340,54010,14760,1095,420,492
1978,18650,2347,6772,12960,29770,4715,528,426
1979,12510,15900,1998,5375,8174,8593,672,288
1980,7024,10660,13550,1549,2165,1781,1861,133
1981,19250,5976,9072,11030,857,526,548,1550
1982,19010,16400,5089,6130,3153,580,145,524
1983,11960,16195,13980,4310,2415,901,208,287
1984,13470,10190,13790,9302,3012,1347,159,254
1985,53880,11470,8684,11740,5863,1664,1084,245
1986,111000,45905,9780,7382,4920,1698,274,259
1987,70030,94555,36760,6238,2360,1461,460,161
1988,14550,58930,78860,28440,3536,841,458,231
1989,19470,12400,46990,43570,13920,1707,332,304
1990,24560,16580,10520,25820,15680,3174,577,176
1991,62065,20915,13890,6954,7461,3356,584,119
1992,56190,52895,17310,7044,4117,3432,1287,530
1993,3023,47900,30760,5350,1506,366,619,304
1994,4174,2577,38355,12790,1283,421,49,629
1995,2186,3545,1069,9240,3262,735,186,313
1996,132,1861,3001,665,1805,234,23,1
1997,129,111,1510,1893,278,548,117,1
1998,198,110,94,538,906,104,202,21
1999,33,169,93,73,301,507,61,20
2000,316,28,144,65,48,168,375,1
2001,542,269,15,72,55,40,139,139
2002,65,462,221,13,58,44,34,232
2003,1149,55,390,184,11,49,37,225
2004,80,979,47,328,154,9,41,223
2005,3594,68,831,39,278,130,7,228
2006,7401,3044,57,706,33,234,110,21
2007,9996,6303,2563,31,524,26,189,63
2008,9672,8506,5360,2149,26,420,21,57
2009,12150,8222,7153,4420,1701,19,319,72
2010,14230,10320,6972,6032,3557,1344,16,443
2011,37020,12070,8358,4873,3740,2272,782,581
2012,32945,31420,9747,5492,3432,2008,958,875
2013,4613,27950,26370,6866,3861,1924,989,647
2014,10670,3888,22935,17235,4691,2202,1043,692
2015,NA,9091,3285,18826,10415,2526,1064,694
