Year,SSB
1959,72220
1960,65509
1961,73881
1962,72532
1963,74393
1964,81886
1965,125043
1966,107524
1967,67006
1968,58904
1969,73065
1970,69149
1971,66963
1972,63752
1973,58130
1974,59947
1975,31041
1976,9140
1977,12066
1978,15322
1979,23507
1980,38357
1981,71212
1982,88456
1983,87884
1984,88123
1985,82100
1986,80165
1987,79600
1988,58857
1989,49407
1990,40465
1991,30968
1992,14918
1993,7643
1994,5203
1995,6225
1996,8333
1997,8750
1998,8838
1999,8805
2000,7775
2001,8108
2002,7928
2003,9797
2004,7618
2005,8312
2006,7778
2007,6994
2008,8412
2009,9147
2010,9210
2011,11742
2012,17901
2013,21551
2014,22738
2015,23299
2016,21990
2017,20457
2018,18537
