Year,1,2,3,4,5,6+
1963,398864,168866,19936,10174,8047,4833
1964,651351,120414,51604,11436,5170,6615
1965,874233,206125,40395,22841,6152,5196
1966,1062544,252429,67683,16295,9283,5817
1967,890549,308618,72905,28452,7974,7792
1968,448728,263604,90202,28739,14252,6712
1969,392556,127531,72084,33914,11280,9573
1970,1321591,118706,38833,32100,15237,7971
1971,1734814,383929,33669,14944,16009,10157
1972,428894,479050,91128,12162,5974,12439
1973,635387,108827,106046,29993,4956,6829
1974,631387,163635,23634,36351,10909,5358
1975,1085420,157698,36863,9688,16372,6883
1976,752472,272031,34086,13702,3798,9531
1977,1832441,165820,51107,10786,5102,5918
1978,1121065,429170,30906,18831,5658,4448
1979,1400592,258282,80933,8893,7314,3366
1980,2261414,301022,59356,24553,3969,4506
1981,876555,482131,59290,17612,8746,3479
1982,1439757,182360,93919,17021,6584,5451
1983,800367,309568,33575,21257,5393,4342
1984,1481585,173319,52453,7963,6720,3703
1985,358913,328892,33230,14688,2751,4050
1986,1625467,84325,58506,10151,5600,2883
1987,617457,384232,16688,15418,2985,3253
1988,426224,150481,71721,5278,4913,2271
1989,745534,105605,30757,17344,1826,2861
1990,295322,180489,20509,7862,5075,1609
1991,339399,74565,30847,5992,2675,2882
1992,792194,89639,15099,8783,2018,1979
1993,394504,199790,18117,4976,2806,1520
1994,955384,106267,36637,5438,1698,1645
1995,547278,248827,23766,10229,1774,1258
1996,351284,140239,40775,5613,3319,1367
1997,1089999,99755,26756,9504,1842,1628
1998,111936,302507,21852,7001,3025,1201
1999,229672,32730,55172,5431,2033,1519
2000,422524,66183,8561,9715,1472,1026
2001,154024,126211,14307,2163,2238,711
2002,233307,48149,25822,3828,587,916
2003,115009,67079,11002,7139,1069,510
2004,196468,37230,14436,3025,1981,556
2005,154259,54466,8388,3366,992,1018
2006,359929,47899,13076,2205,1096,901
2007,168870,103686,10501,4170,971,775
2008,190204,47819,24769,3180,1617,954
2009,183318,54094,11737,7602,1387,1092
2010,274919,54491,13421,3902,3165,1020
2011,132904,77941,13614,4194,1675,2028
2012,179434,39821,20252,5816,1860,1753
2013,226194,50375,11318,8497,2804,1690
2014,317568,63714,15629,4928,4048,2115
2015,155316,91419,20260,6286,2330,3616
2016,109912,41176,26396,9948,3178,2661
2017,385593,27889,12759,11047,5242,2963
2018,97383,97546,8246,5254,4867,4581
