Year,1,2,3,4,5,6,7+
1971,725,461,557,96,35,17,11
1972,4,772,110,204,45,26,17
1973,331,239,345,60,74,17,11
1974,1,223,40,118,38,37,36
1975,674,136,185,61,105,20,33
1976,51,1460,61,107,11,22,7
1977,25,416,236,15,60,2,17
1978,196,496,129,116,20,34,20
1979,438,357,263,68,104,19,32
1980,609,1213,285,175,52,55,14
1981,315,3087,811,153,41,20,12
1982,77,1174,901,171,37,19,5
1983,1286,529,540,424,77,21,11
1984,736,1208,134,97,94,22,5
1985,733,1256,469,62,40,47,15
1986,651,1303,673,254,30,31,17
1987,2698,931,441,246,61,20,15
1988,1829,5441,320,133,46,21,8
1989,666,2640,2484,149,77,18,11
1990,356,838,996,656,78,21,16
1991,1377,1034,229,330,203,48,14
1992,1434,2601,329,64,70,53,17
1993,274,2373,929,79,24,19,16
1994,1340,692,1199,258,27,10,17
1995,823,3320,310,284,73,13,5
1996,617,2248,1199,134,95,43,4
1997,1185,1871,952,297,48,22,6
1998,640,2548,642,254,99,36,8
1999,497,1143,757,158,59,36,14
2000,1692,464,419,169,44,17,14
2001,1090,2371,136,98,70,19,19
2002,210,2068,883,64,33,12,11
2003,103,556,826,217,15,9,7
2004,341,298,175,168,59,8,7
2005,296,665,138,52,45,11,2
2006,368,995,249,25,14,13,5
2007,492,1246,409,60,9,4,4
2008,123,771,313,101,24,4,4
2009,161,281,324,96,37,10,2
2010,534,435,122,91,42,9,2
2011,1515,3156,232,52,32,9,2
2012,35,490,1349,219,26,14,7
2013,110,195,434,452,65,21,6
2014,747,320,80,111,131,9,1
2015,36,1518,115,20,33,26,9
2016,132,86,558,32,6,10,17
2017,18,406,78,112,15,4,7
