year,0,1,2,3,4,5,6,7+
1994,195048,64280,18283,30273,4444,216,24,20
1995,62069,90944,45071,8386,9013,1390,65,8
1996,186652,25926,68118,21059,1833,2411,260,9
1997,250446,86077,12073,35031,4760,559,541,82
1998,86595,117595,55994,5470,8487,1222,159,149
1999,85991,37609,79937,23624,1574,2015,315,94
2000,55994,39144,25540,33356,5268,296,407,81
2001,89769,24416,27584,10098,7048,1354,66,112
2002,28883,41564,18139,11359,2055,1489,344,33
2003,140505,13679,33725,7591,70,490,338,93
2004,51226,69703,10431,16741,2097,551,147,117
2005,48582,23133,54666,4926,4738,558,127,67
2006,15856,23981,15632,24860,1678,1296,145,40
2007,6996,6889,16170,7870,7376,765,428,59
2008,66703,3138,5070,7006,2527,1780,286,165
2009,24860,28653,3993,3647,2138,806,387,123
2010,40055,10971,22181,3002,1456,616,199,118
2011,26823,16480,7713,12223,1601,502,130,70
2012,72186,11474,11276,4339,4564,739,136,41
2013,40864,31039,7619,5909,1619,1401,255,64
2014,25489,17183,20839,3691,1766,320,193,57
2015,6395,10608,11098,9769,1214,486,79,105
2016,171271,2939,6924,4961,3106,394,139,63
2017,3595,85991,2588,4049,1914,971,133,71
