"Year","Frep","Low","High","SSB","Low","High","R","Low","High","PredCatch"
1985,2.0202,1.68606393253651,2.42055355152532,494.97,417.102270352314,587.374652008151,8376.4,7498.4097223939,9357.19433288047,984.3864
1986,2.1384,1.79619060042773,2.54580697555765,519.66,453.508939200705,595.460182275455,4573.8,3953.06577420531,5292.00565710434,1050.511
1987,2.3901,1.99487125037339,2.86363243188289,715,622.21891235764,821.615977667611,7763.7,6850.21321956943,8799.00168914576,1556.39
1988,2.5991,2.16346024716204,3.12246126031732,480.18,409.309993862503,563.320798068407,14021,12577.411176432,15630.2786195282,1274.554
1989,1.5182,1.2273609566548,1.87795711400347,1059,934.383170719631,1200.23672851072,7566.9,6615.84161877263,8654.67750127648,1511.159
1990,2.1523,1.86059645295839,2.48973670923342,1449.1,1289.73193382804,1628.16067038624,6308.2,5533.9749705383,7190.74217932887,2799.821
1991,1.8619,1.58674845642094,2.18476444452916,974.53,860.610360231459,1103.52926804713,5505.7,4857.22210429608,6240.75486751764,1707.463
1992,1.8362,1.57049101763168,2.1468638802433,730.04,644.275379518964,827.221431304612,6210.3,5486.9170157618,7029.0521943761,1220.974
1993,1.0581,0.872470264083163,1.28322494884855,796.48,704.579075783313,900.367910719929,8574.3,7621.72899962396,9645.92423761422,822.6692
1994,1.1643,0.961737149811922,1.40952701085229,1131.9,1003.05100216878,1277.30056321146,6075.9,5342.92283548149,6909.43177484112,1262.52
1995,1.4885,1.24472846380024,1.78001252034964,1265.9,1130.97771368231,1416.91811484284,5486.1,4807.37146935294,6260.65478856183,1782.062
1996,1.3528,1.12566611275557,1.62576435344588,1178.5,1038.60945387758,1337.23243594094,6404.1,5663.00961480337,7242.1732611563,1488.148
1997,1.6159,1.35938466669034,1.92081967229868,1001.1,884.735431817241,1132.76938388404,5886.5,5168.56725283028,6704.15621099355,1515.929
1998,1.4853,1.23367401553596,1.78824880982969,1053.4,926.041808897518,1198.27371651942,8380.8,7396.79528199109,9495.7080684668,1438.571
1999,0.97432,0.792501257121036,1.19785231110998,1339.9,1177.36101379884,1524.87808663482,10421,9254.06150555685,11735.0896073891,1270.548
2000,1.7317,1.4461114280411,2.07368867422765,1697.7,1508.56759143716,1910.54435105174,7553.2,6693.39463569286,8523.4523504372,2688.423
2001,1.6559,1.40304742675019,1.95432082887687,1641.1,1463.75872841384,1839.92700280491,4215.7,3657.85856292161,4858.61500227199,2462.972
2002,1.293,1.09242056697526,1.53040783974718,1520.6,1356.36614883873,1704.71989586266,5343.5,4727.65968887771,6039.56167089898,1784.685
2003,1.5873,1.35018659307853,1.86605414608309,1072.3,951.545189459318,1208.37906884207,4179.4,3672.81270433074,4755.86036265982,1558.072
2004,1.5443,1.29818894063249,1.83706886983499,821.38,730.018436355255,924.175432840277,3890.6,3439.75564137731,4400.53595026277,1131.653
2005,1.5292,1.28302448501448,1.82260951939168,709.08,629.243951322724,799.045339002598,4181.2,3705.57059695097,4717.87892919513,1018.972
2006,0.89282,0.72132450491155,1.10508869028059,819.16,728.205770494699,921.474578736374,5628.1,5021.18624819739,6308.37177596659,692.1731
2007,0.78444,0.624222559205758,0.985779998696215,1124.3,1004.28146528876,1258.66157415994,4397,3866.30512126505,5000.538859094,810.9895
2008,0.83071,0.656289904053288,1.0514851742165,1399.1,1250.11617079112,1565.83912418414,6160.1,5490.89713945951,6910.86193134101,1081.728
2009,0.64573,0.503147917122541,0.828717000926089,1555.9,1380.40772700668,1753.70273770446,6113.8,5405.53762783867,6914.86268590555,946.1599
2010,0.46541,0.359780623594548,0.602051511101117,2076.1,1846.71296271712,2333.980048344,4849.3,4203.56054366647,5594.23618280728,899.6242
2011,0.50557,0.382469921000213,0.668290526563676,2486.8,2191.50599463439,2821.88333280453,4224.4,3666.88285506992,4866.68270171934,1172.724
2012,1.3128,1.07860831219173,1.59784031007324,1700.2,1497.92553371732,1929.78888131131,4660.5,4025.3359558466,5395.8875701921,2060.376
2013,0.76882,0.585418543951132,1.00967794496332,1308.4,1117.61788662305,1531.74942929075,7978.6,6871.61695305915,9263.91246701554,932.6863
2014,0.34228,0.25674685772088,0.45630781790274,1707.8,1442.05200470534,2022.5212617044,11456,9702.18576222647,13526.8422205393,543.17
2015,0.12873,0.0984879452724181,0.168258286373661,3046,2607.88851799702,3557.71189449694,16335,13308.5164257926,20049.7348061174,367.8848
2016,0.083281,0.0645778871826664,0.107400927214937,4816.3,4160.3790720087,5575.63272204429,19252,13566.3132059038,27320.5769596049,371.059
