"Year","Index","Age","logObs","Pred"
2014,1,"1",4.48528005329443,5.31252373733501
2014,1,"2",8.28908484664886,7.2043148320041
2014,1,"3",7.7418550805957,7.65600229399336
2014,1,"4",6.73025770267967,7.1134205907982
2014,1,"5",5.10848766958331,6.43936727989547
2014,1,"6",3.14315193745641,7.05914826641392
2014,2,"1",7.37647689506394,7.57088759106727
2014,2,"2",7.73409063336109,8.0273222356981
2014,2,"3",6.16901185305126,7.31825644560065
2014,2,"4",4.78826632622582,6.62282505875187
2014,3,"1",3.61971687062761,6.82059286758371
2014,3,"2",7.57758765580476,8.50789899122415
2014,3,"3",7.58834398732138,8.3669386729984
2014,3,"4",6.26015261027022,7.72902505649134
2014,3,"5",4.44195676285602,7.04900233162618
2014,3,"6",3.07421983205967,7.66844513709632
2014,4,"1",7.38800627260139,8.07385705611527
2014,4,"2",7.33836820038638,8.24683552316277
2014,4,"3",6.14181601006569,7.46645518741575
2014,4,"4",4.26380577488322,6.76886142369571
2014,4,"5",3.00280727389351,6.10454046691792
2015,1,"1",3.81981989669877,4.81692712025064
2015,1,"2",7.27969121951106,7.75162388955042
2015,1,"3",7.9955492260815,8.1885370113859
2015,1,"4",6.51783232213045,7.49941680274043
2015,1,"5",5.03118927389879,6.78123799785557
2015,1,"6",3.48909829702279,7.2431687304944
2015,2,"1",6.51553474976359,7.07556822398291
2015,2,"2",7.58724469299677,8.57836639324442
2015,2,"3",5.99784150876646,7.8745473129932
2015,2,"4",3.61530323168319,7.0452580206941
2015,2,"5",2.03355471145356,6.32733922205166
2015,3,"1",3.92488001727093,6.32499625049934
2015,3,"2",7.98499075373517,9.05520804877048
2015,3,"3",8.92619476259525,8.89947339039094
2015,3,"4",7.33717753571676,8.11502126843358
2015,3,"5",5.79622516272568,7.39087304958628
2015,3,"6",4.08844384086577,7.85246560117681
2015,4,"1",8.76059579035731,7.5785376890309
2015,4,"2",7.50145216971588,8.79787968070909
2015,4,"3",5.67730488867213,8.02274605480829
2015,4,"4",3.23380389006171,7.19129438563794
2016,1,"1",4.39107959613333,4.09607436696596
2016,1,"2",7.67425032921274,7.25648767350783
2016,1,"3",8.22669100346639,8.74304728704785
2016,1,"4",7.06486169287037,8.08205575493267
2016,1,"5",5.43342499423557,7.24517134576135
2016,1,"6",4.4316246385496,7.50945845681701
2016,2,"1",6.77379404155717,6.35477787069823
2016,2,"2",7.64206836118558,8.08407107720183
2016,2,"3",6.88743321148239,8.43440598865515
2016,2,"4",4.77555424034148,7.63610032288634
2016,2,"5",2.82055107024126,6.79732901995745
2016,3,"1",5.60734482184049,5.60414349721466
2016,3,"2",8.84483652780039,8.56007183272788
2016,3,"3",9.05077468260219,9.45398366605289
2016,3,"4",7.75845758595364,8.69766022062582
2016,3,"5",6.32834748255231,7.85480639749207
2016,3,"6",4.66117244806413,8.11875532749941
2016,4,"1",8.30423015762942,6.85774733574622
2016,4,"2",8.02953696794351,8.30358436466649
2016,4,"3",6.43714348882317,8.58260473047025
2016,4,"4",4.00299658255878,7.78213668783018
2016,4,"5",2.14943378675534,6.94330208278381
