"","year","fleet","age","logObs","pred","predSd"
"1",2014,"NEFSC_Spring",1,2.77701640556693,4.61035189555434,0.975621680170645
"2",2014,"NEFSC_Spring",2,5.75856733310015,5.51769815266796,0.960033689866308
"3",2014,"NEFSC_Spring",3,6.81024277584309,6.13035931049838,0.954556695566173
"4",2014,"NEFSC_Spring",4,7.15294990832375,6.43747894750494,0.955352025914193
"5",2014,"NEFSC_Spring",5,5.83815309836112,5.71730930757968,0.958977274385642
"6",2014,"NEFSC_Spring",6,6.53816876690887,5.56223905350767,0.967367233677673
"7",2014,"NEFSC_Spring",7,6.36088615603547,5.96672586993166,0.972824676683874
"8",2015,"NEFSC_Spring",1,NA,4.53105631340184,0.986453316338946
"9",2015,"NEFSC_Spring",2,3.51279838490944,5.57803248462133,0.969598754963766
"10",2015,"NEFSC_Spring",3,4.4255769040653,6.23852591463655,0.960107230340333
"11",2015,"NEFSC_Spring",4,4.93697440147476,6.38462336058379,0.958051632275636
"12",2015,"NEFSC_Spring",5,5.0368227238499,6.18381800505758,0.960074420155508
"13",2015,"NEFSC_Spring",6,2.94790664407139,5.07957035293556,0.966462512487103
"14",2015,"NEFSC_Spring",7,5.19180062716555,5.94547090955517,0.974171926129486
"15",2016,"NEFSC_Spring",1,3.85471163871503,4.48948285471912,0.990809315113191
"16",2016,"NEFSC_Spring",2,2.58036833326658,5.50314239661438,0.97874283084062
"17",2016,"NEFSC_Spring",3,4.71222027351517,6.30081989142927,0.970295014523135
"18",2016,"NEFSC_Spring",4,5.03242940113193,6.52152610284761,0.962679860188097
"19",2016,"NEFSC_Spring",5,5.42701396537,6.20260822479691,0.960567640112592
"20",2016,"NEFSC_Spring",6,5.48775107194777,5.59204042736254,0.966230322120744
"21",2016,"NEFSC_Spring",7,5.74629583800543,5.83004368608699,0.974393865493641
"22",2014,"DFO",1,4.2473660333045,3.17487883744733,1.14579816808383
"23",2014,"DFO",2,3.83925874547331,3.71376583604193,1.12581892941936
"24",2014,"DFO",3,3.46570465231144,4.02657985867743,1.12162610958835
"25",2014,"DFO",4,4.19874962157689,4.2438336060861,1.12008317231617
"26",2014,"DFO",5,2.65464942437509,3.61844179505776,1.12271258991198
"27",2014,"DFO",6,3.89161619565048,3.70132140642695,1.12565304228367
"28",2014,"DFO",7,4.27053625864052,4.48918035292881,1.13886392131299
"29",2015,"DFO",1,NA,3.02278530401443,1.15250629057858
"30",2015,"DFO",2,NA,3.67759824604557,1.13516650260617
"31",2015,"DFO",3,4.37106679443754,4.073231575882,1.12775970047534
"32",2015,"DFO",4,4.85816764162801,4.0926410784571,1.1286340812761
"33",2015,"DFO",5,5.23511661686175,4.0092258248323,1.12531304332112
"34",2015,"DFO",6,2.21931217380022,3.18672558829794,1.13174618317944
"35",2015,"DFO",7,4.10828033996058,4.39475416410399,1.14101019188876
"36",2016,"DFO",1,3.86192899161608,2.92274432014944,1.15619570311237
"37",2016,"DFO",2,1.41025499856473,3.53636380760367,1.14169036741783
"38",2016,"DFO",3,4.01391150059259,4.04348823432395,1.13723415235686
"39",2016,"DFO",4,3.49480915028543,4.17504284535284,1.13371813605466
"40",2016,"DFO",5,3.03836063560961,3.93907324408004,1.13227794425552
"41",2016,"DFO",6,2.89574617867806,3.61231976596757,1.13240542715065
"42",2016,"DFO",7,2.25779691020391,4.19191703538907,1.14405683930137
"43",2014,"NEFSC_Fall",1,NA,4.30679028767299,0.971183858165747
"44",2014,"NEFSC_Fall",2,4.05781888087265,5.39299050241556,0.951837871611114
"45",2014,"NEFSC_Fall",3,5.85180584940291,6.21435035336186,0.943970544707183
"46",2014,"NEFSC_Fall",4,6.19261194711028,6.68276267766917,0.944369215459026
"47",2014,"NEFSC_Fall",5,6.12866015578576,6.09568144806225,0.948785005029146
"48",2014,"NEFSC_Fall",6,5.9637644164657,6.04180881856621,0.951182502353471
"49",2014,"NEFSC_Fall",7,6.36497276318775,6.53494443342882,0.959192928802291
"50",2015,"NEFSC_Fall",1,NA,4.24830196352893,0.97949926104401
"51",2015,"NEFSC_Fall",2,2.72595560497104,5.46845406059637,0.961580071918344
"52",2015,"NEFSC_Fall",3,3.94887553202454,6.30711457050771,0.951296904486587
"53",2015,"NEFSC_Fall",4,5.35621356371448,6.62710326634557,0.947179847509638
"54",2015,"NEFSC_Fall",5,5.3734665821339,6.56721302977078,0.947960603056471
"55",2015,"NEFSC_Fall",6,4.37996200479166,5.56966386689854,0.956078187192568
"56",2015,"NEFSC_Fall",7,5.19476077838974,6.51181799081514,0.958776508949702
"57",2016,"NEFSC_Fall",1,0.973426923244964,4.1995754342772,0.978764790933784
"58",2016,"NEFSC_Fall",2,3.18507082025584,5.38822046469844,0.97052953525645
"59",2016,"NEFSC_Fall",3,6.18779378661904,6.39288938310324,0.959540452667694
"60",2016,"NEFSC_Fall",4,7.19649179531252,6.76518844547514,0.953619587606261
"61",2016,"NEFSC_Fall",5,6.80458126008601,6.57523189157764,0.949308930197137
"62",2016,"NEFSC_Fall",6,6.30207120669921,6.08858296847425,0.953095148363506
"63",2016,"NEFSC_Fall",7,7.32961197464129,6.39602760464691,0.959470590365801
