year,	fleet,	age,	logObs,	pred,	predSd
2014,	2,	1,	2.26176310659879,	3.28477400670918,	0.893312144675408
2014,	2,	2,	3.54095934899384,	3.74285843417301,	0.852404948766839
2014,	2,	3,	4.96703182109879,	5.03466009360558,	0.840029064587606
2014,	2,	4,	6.00141486692155,	4.50619085453467,	0.836135207661367
2014,	2,	5,	5.32739055541305,	3.29110847954288,	0.836849933522007
2014,	2,	6,	4.01277298315758,	2.93324954697785,	0.831642283054957
2014,	2,	7,	4.00369018795032,	1.5687182089708,	0.833871637432081
2014,	3,	1,	6.42271055160595,	4.35748654575352,	0.714123693238953
2014,	3,	2,	6.30750247459405,	4.06232260805946,	0.666240638635773
2014,	3,	3,	6.27150598622151,	4.76924722598309,	0.658767454606973
2014,	3,	4,	5.6429213092968,	3.59096957689121,	0.661690809304969
2014,	3,	5,	3.24254287955868,	1.80626886557565,	0.66445671098796
2014,	4,	1,	5.31197263523911,	5.25371307177663,	0.828351359499501
2014,	4,	2,	3.89206594548786,	3.89128624549761,	0.784942227915547
2014,	4,	3,	4.72141957572165,	4.18071829410045,	0.772386203137346
2014,	4,	4,	3.24673655843985,	2.92394187890057,	0.768651419752967
2014,	4,	5,	2.37979155836303,	1.32892850463149,	0.764649584641538
2014,	4,	6,	1.90235301253139,	0.530712345568005,	0.763840174304992
2015,	2,	1,	3.89995038882546,	3.05294099762401,	0.955375106331501
2015,	2,	2,	7.18500837978572,	4.62259034912067,	0.901434165148761
2015,	2,	3,	7.48818148757512,	4.01286694859734,	0.870389139533529
2015,	2,	4,	7.93465678862511,	4.57211197052571,	0.864728876230883
2015,	2,	5,	6.03715470718798,	2.95957578894932,	0.869968841150686
2015,	2,	6,	4.80811079279292,	1.6550593410751,	0.866652051018449
2015,	2,	7,	3.73528580859874,	1.1246683320875,	0.861034727810128
2015,	3,	1,	1.85629771224059,	4.130984578722,	0.790309874274233
2015,	3,	2,	5.2796440006711,	4.98778742775439,	0.728143637825801
2015,	3,	3,	4.55492901056081,	3.957782154464,	0.697661028241574
2015,	3,	4,	5.3181200830599,	4.21005384159094,	0.701052837314349
2015,	3,	5,	4.48074005438228,	2.21424884801283,	0.719662675421954
2015,	4,	1,	4.25703019152469,	5.02290090053152,	0.894951138234117
2015,	4,	2,	4.06560208066348,	4.77977552518411,	0.837990579640537
2015,	4,	3,	4.03246897836215,	3.19920073763268,	0.805736188035731
2015,	4,	4,	4.02356452434709,	3.09578785315498,	0.801410081685969
2015,	4,	5,	1.52605619914722,	1.13900462376722,	0.804313913590236
2016,	2,	1,	4.563272500161,	2.46754521171765,	1.03856701492418
2016,	2,	2,	5.33606115599971,	4.30388410534689,	0.971085130066535
2016,	2,	3,	7.58940332950102,	5.11118154934144,	0.933530674495449
2016,	2,	4,	5.76233225961989,	4.00481778874217,	0.924855864258334
2016,	2,	5,	5.8653008165965,	4.02104068250366,	0.943385955136277
2016,	2,	6,	2.07940792951495,	2.38496830593906,	0.951565518540599
2016,	2,	7,	2.24067614047916,	0.7926924918619,	0.951808397827561
2016,	3,	2,	4.5507550425388,	4.66895837605965,	0.81682160702459
2016,	3,	3,	7.38260091474,	5.05361992042822,	0.791828864749917
2016,	3,	4,	5.7611488887052,	3.63138777340271,	0.820018630880215
2016,	3,	5,	5.88141143773982,	3.25191322947042,	0.879442284240865
2016,	4,	2,	2.59525461591209,	4.46104576499993,	0.913179713510143
2016,	4,	3,	3.92986299487278,	4.29704105086574,	0.876314689053369
2016,	4,	4,	1.87180214397851,	2.52631607610246,	0.873132475563427
2016,	4,	5,	2.11625582203142,	2.19591197245197,	0.894600032730022
