"","R","Low","High","SSB","Low","High","Catch","Low","High","Fbar","Low","High"
"1982",10924.187734328,7792.25256417691,14946.7098952888,25463.4698789989,20837.3661677765,32730.9700575574,19878.3159001305,13948.2413446689,29499.2194611517,1.0279148,0.35178889,83.6415540450001
"1983",12041.8452201374,8815.57742954645,16375.884633238,20132.3584864635,16266.2615302509,25718.6649635045,16364.5836478414,12765.6038619127,20973.1543718546,0.8082582,0.385418435,4.229159155
"1984",10361.8616080208,7422.17118425589,14077.8469678897,17081.6427243965,13791.4750985532,22172.4667228371,15350.9065242742,12187.9844022468,19040.6483287246,0.6802926,0.4081480865,2.223639525
"1985",8853.16124127367,6522.34401795556,12111.5826024761,14792.8671966753,11607.9003031342,20389.3196081565,14857.8852949422,12088.3824216069,18397.1247071702,0.7238365,0.448009435,1.39325887
"1986",11520.9121758722,8645.55434896881,15532.7761715906,12673.0085733736,9890.62664965335,18386.3909555173,12377.8562214676,9777.56658909799,15520.9993102089,0.8039242,0.441786976,1.77840756
"1987",14471.2871059318,10962.827180324,19322.4699934335,11099.3547641524,8864.53313880416,16688.5480362457,9725.34254066991,7757.35461548278,12341.3849838042,0.8157481,0.365045595,3.83236865000001
"1988",31887.5923901294,23677.8368046878,43658.1358401879,11806.9805553093,9637.49874275618,16528.1936719437,9277.99768969863,7135.20315665277,11784.48289715,0.6810612,0.34615443,6.84786567000001
"1989",3955.93906428574,2977.43427398584,5493.27901673836,16772.818592008,13639.8389055946,23187.5442406007,14527.3068048024,11400.6345358487,18328.1524680397,0.6610889,0.44557563,2.283956395
"1990",4216.2594931876,3048.24367074335,5715.98198819926,22548.6794028115,18122.771896182,28894.9936899681,19994.2953959353,15504.8905728344,26969.3766127957,0.9250597,0.68169274,1.4181784
"1991",5921.20291242213,4376.6375429427,8064.47117995536,18477.8040420933,14571.1100664237,23316.0423296628,20059.7703448166,15214.5215909428,27037.6810951027,1.9122669,1.33874893,8.6604307
"1992",7481.19528436057,5699.79463688029,10070.6402472844,12314.0734164943,9326.9958745034,15790.9964038495,10591.2443879178,8504.78520537299,13653.5477957575,7.0473499,1.958799015,74.9905092000001
"1993",10402.0593818113,7915.9939733174,13849.0384061509,9975.51493694228,6740.45117468409,14269.8945171492,7837.94104951338,6367.25186223859,9668.72203280738,4.9259226,1.02525501,38.50693029
"1994",3101.49730958733,2365.30009554626,4015.13537731998,10990.1777052722,6767.73627680012,16500.5883303375,7589.4231791347,5962.04464633425,9751.46138719396,0.6589008,0.3482196915,1.8693915
"1995",3868.92947771322,2838.0009023906,5112.62602074652,14256.8513506874,8306.74130669363,22130.9067687698,8401.58686663195,6570.19198097123,10629.7557080622,0.354301,0.2402685925,1.64785355
"1996",3456.38875651922,2529.54408208137,4650.31487749471,15366.8353399321,8323.98725613927,23752.0690280838,6885.0426205938,5319.06698309214,9120.9164899421,0.25501085,0.16149378295,2.908883
"1997",6198.82432149727,4626.95501260672,8414.49373794289,14654.2483316256,7668.87443947921,22391.4744805865,4695.21687496304,3732.23711584617,5900.66933572966,0.193410626,0.11869245535,2.46974690000001
