"Year","Frep","Low","High","SSB","Low","High","R","Low","High","PredCatch"
1977,0.49483,0.397596133584218,0.615842832003131,9397.9,8422.67187830529,10486.0459585861,7143.2,6210.52608669309,8215.93944341185,3198.298
1978,0.52113,0.424889442603366,0.639169745513108,13384,12213.0865081144,14667.173271964,1598,1223.51679645496,2087.10171155709,4818.334
1979,0.3645,0.29571785113827,0.4492804525956,15659,14310.0947365935,17135.0564418675,6715.7,5851.2397432329,7707.87533396832,4709.612
1980,0.52778,0.434269158181932,0.64142645903328,15118,13757.0498267081,16613.5855346168,7316.8,6414.29465434716,8346.28982996866,7207.565
1981,0.48227,0.398468025201442,0.583696402697353,14638,13289.6981543018,16123.0933548812,5161.6,4504.00904259777,5915.20006021873,5932.608
1982,0.56929,0.47329457437329,0.684755587002329,14309,12986.9172654552,15765.6722388323,1149.4,923.790060193954,1430.10887097294,6414.133
1983,0.86318,0.735407623475181,1.01315201068914,10909,9914.78774184377,12002.9075859842,3120.5,2721.8742700613,3577.50552885777,7535.588
1984,0.66032,0.550410909544049,0.792176344689813,7405.6,6692.30762869932,8194.91786731552,1212.7,1046.21348382998,1405.67992358145,4302.651
1985,0.79909,0.662221671622295,0.964246347504316,5598.8,5026.11070119362,6236.74314068644,325.76,268.832520545966,394.742337662438,3440.623
1986,1.3596,1.17773761798078,1.56954497485549,3169.8,2854.78669545726,3519.57365360729,264.39,220.820823997608,316.555616605965,3064.217
1987,0.67526,0.565610902535419,0.806165626504072,1555.3,1410.43323319148,1715.04615254029,122.2,97.2652671372531,153.526952009785,976.3286
1988,0.54717,0.447434881524681,0.66913649619757,1131.8,1022.15429822728,1253.20731148084,418.45,366.640380541066,477.580789768975,524.4973
1989,0.46115,0.368545873754247,0.577022665682604,808.38,721.086072752674,906.241638956376,197.23,164.745578117465,236.11967826089,342.8482
1990,0.75485,0.621083277228179,0.917426927098961,804.01,718.761020870781,899.369973230943,318.03,272.669476360444,370.936572182718,469.4482
1991,0.66647,0.548271979030703,0.81014948399383,686.39,609.695029776231,772.732610716728,275.7,228.479134668896,332.680225308766,379.8046
1992,0.59304,0.483083867851575,0.72802356900077,680.18,602.488995043762,767.889266369746,809.46,698.596367274247,937.917118230275,267.5919
1993,0.36307,0.288678308441139,0.456632247888061,745.72,658.716817653918,844.214544848872,1480.9,1290.80435234551,1698.99087031663,188.2972
1994,0.20378,0.160611097656036,0.258551800006576,1234.5,1100.1315120934,1385.28006265366,2885.1,2555.53580441206,3257.16509063547,183.7328
1995,0.2732,0.215780486474135,0.345898932844174,2169.1,1951.53013042753,2410.92604036263,2478.9,2154.67936154772,2851.90702601154,402.0302
1996,0.13403,0.106675404458517,0.168399088723265,3324.2,3002.11805284111,3680.83647794674,1042.6,840.135558866634,1293.85638844571,331.8548
1997,0.22256,0.1791284468348,0.276521984504681,4897.7,4428.51759613895,5416.59026282603,2694.2,2301.70620514462,3153.62300530615,974.7403
1998,0.1735,0.140063910764984,0.214917960205389,6026.3,5418.30442247029,6702.51961838698,2764.1,2340.59863442707,3264.22851727852,899.5967
1999,0.11521,0.0926509541065012,0.143261817733063,6270.9,5640.07650917483,6972.27896572512,15717,14370.4093898701,17189.7739513344,554.871
2000,0.15098,0.12172546314177,0.187265341298815,7910.4,7208.85323283517,8680.21946611196,3227.6,2731.01995132117,3814.47296090256,924.8474
2001,0.11592,0.0931504104722253,0.144255364328283,13108,12069.679594559,14235.6441738069,1255.5,981.992194670625,1605.18612933447,1210.036
2002,0.092425,0.0746575316452779,0.114420882083105,15841,14569.1055934951,17223.931791121,1969.7,1618.33965728551,2397.34475549314,1243.6
2003,0.10216,0.0828127560671287,0.126027270382596,13806,12646.4607633701,15071.8560367562,436.67,303.591016965676,628.084094206115,1344.711
2004,0.11352,0.0918662048494364,0.140277814035322,12066,11005.3810772215,13228.8336931225,7869.7,7045.12143806871,8790.78929077731,1320.689
2005,0.17054,0.137590838964397,0.211379564358393,10605,9620.72751251398,11689.970935536,636.79,474.636785145207,854.340659618162,1640.471
2006,0.14223,0.114210842357818,0.177123051387908,9999.5,9047.71070799155,11051.4143828319,1785.9,1473.05794178715,2165.18218294284,1195.027
2007,0.15923,0.128609392387462,0.197141067454975,8940,8044.80377469738,9934.81037429113,2161,1799.0888758605,2595.7144544993,1310.439
2008,0.14533,0.117205092097896,0.180203850549076,8129,7256.0949726058,9106.91511749455,456.62,320.718894269851,650.107705299607,1104.763
2009,0.12713,0.101689433301737,0.158935263726402,7633.4,6751.07335188898,8631.04169112547,723.26,524.698921928325,996.962268718855,908.4379
2010,0.14394,0.114270010193634,0.181313745967918,6804.5,5952.46312591769,7778.49761864115,1744.9,1338.80130363553,2274.1806433353,926.0835
2011,0.12849,0.100723268317198,0.163911282624464,6070.5,5252.3814662813,7016.04985977734,17496,14948.0955953585,20478.1949678626,726.9021
2012,0.14114,0.109636882616367,0.181695239089425,7208.3,6260.98929295336,8298.94230109603,6210.2,4786.40053678074,8057.53378632607,741.9538
2013,0.099358,0.0774146819999387,0.127521187311831,11174,9696.9994138074,12875.9702534597,31560,25835.1772206436,38553.3875573387,791.9289
2014,0.071107,0.0556915802700109,0.0907894052294059,17825,15528.3250656548,20461.358430907,139360,117367.974881785,165472.81845462,984.5759
2015,0.045294,0.0354678019587679,0.0578425028532912,38911,33933.8738308664,44618.1278490757,4896.1,2465.32055395867,9723.60173264587,1095.836
2016,0.049399,0.0384296437479432,0.0634994489411733,65827,56935.6181998669,76106.9092775764,3492,1549.22201368956,7871.08877375111,2302.925
