Year,R(age 3),Low,High,SSB,Low,High,Fbar(6-11),Low,High,Catch,Low,High
1987,309166,206335,463245,325550,270353,392016,0.523,0.43,0.635,71039,61385,82212
1988,219361,151208,318232,333961,278320,400726,0.75,0.63,0.892,93681,79769,110018
1989,495985,345023,712998,330245,276827,393971,0.547,0.454,0.66,93482,76951,113564
1990,286666,200524,409813,318820,271034,375032,0.542,0.447,0.656,100536,83302,121336
1991,937709,656944,1338468,292738,251895,340202,0.536,0.438,0.655,101364,86044,119412
1992,1055669,742606,1500711,330752,281934,388022,0.475,0.381,0.593,106302,90890,124328
1993,654144,457515,935279,421308,351697,504698,0.293,0.232,0.369,98301,82410,117257
1994,876778,588235,1306858,444549,373026,529787,0.399,0.318,0.501,135069,114378,159504
1995,209938,147312,299189,428301,360800,508431,0.395,0.31,0.503,124727,105963,146814
1996,202312,141967,288308,333987,279519,399069,0.373,0.285,0.489,95850,81616,112566
1997,651014,455487,930475,281136,235276,335936,0.28,0.211,0.37,67047,57768,77817
1998,425968,298063,608760,320084,266000,385164,0.258,0.197,0.339,78969,66760,93411
1999,702197,491501,1003213,339362,280583,410453,0.313,0.238,0.413,92707,78895,108935
2000,575985,395440,838962,387321,316610,473824,0.277,0.21,0.364,98743,83751,116420
2001,489520,343242,698136,347821,284521,425204,0.308,0.229,0.415,93323,79886,109020
2002,1361818,949364,1953464,358914,293260,439268,0.33,0.233,0.467,100661,86238,117497
2003,1586768,1091329,2307126,465605,372749,581592,0.24,0.17,0.338,119396,98335,144968
2004,708593,492120,1020289,628516,500363,789490,0.191,0.136,0.269,114973,94746,139518
2005,690583,474766,1004506,662586,527132,832848,0.159,0.112,0.226,98849,82551,118365
2006,827384,573125,1194442,707868,574698,871897,0.116,0.083,0.163,111651,93522,133293
2007,691059,486766,981091,643522,527213,785491,0.252,0.178,0.356,159971,136475,187512
2008,453239,314049,654119,610876,496404,751745,0.273,0.192,0.388,148969,127946,173447
2009,512678,354114,742244,529190,423542,661190,0.08,0.058,0.112,46199,39641,53843
2010,416284,288009,601690,495343,399824,613682,0.09,0.066,0.122,42943,37138,49655
2011,525297,362877,760414,476413,386386,587415,0.116,0.086,0.156,49122,42700,56509
2012,395899,273467,573144,476676,389472,583405,0.321,0.236,0.437,117448,102047,135173
2013,639384,423376,965600,420234,335716,526032,0.221,0.158,0.31,73579,64144,84401
2014,152228,100975,229498,457237,364715,573231,0.252,0.18,0.352,87964,75840,102025
2015,169343,109696,261425,381644,297924,488891,0.204,0.145,0.287,68380,58616,79770
2016,205985,116189,365179,341415,257425,452809,0.197,0.137,0.284,61555,52875,71659
