"","R","Low","High","SSB","Low","High","Catch","Low","High","Fbar","Low","High"
"1987",591255.538073454,454562.703516207,758170.718118376,360326.892344024,310358.207320104,420210.731321957,115359.244187371,87433.5259983163,148243.670902702,0.456031935808583,0.355732315381614,0.568447170665667
"1988",341485.20665038,272994.69531873,409619.352583663,368963.828264339,326173.864349457,426747.538608549,114079.844924653,92791.7067113763,143396.483956792,0.440778414912565,0.371025983361312,0.510041214183658
"1989",448919.038359098,363785.897215034,545414.04693209,319720.535787745,287147.173629347,361973.170157406,103921.393001733,85539.0701566345,126499.80610323,0.446340971475201,0.376908042771657,0.52659852308798
"1990",360418.694540019,300133.051179171,442944.249638123,284950.416265634,255976.353585877,316502.990286728,92566.8729038881,77784.9758572496,107908.008332493,0.44532859928989,0.380877938141747,0.515196688807575
"1991",709305.090527277,581056.308976481,873441.543706777,259923.510895742,235264.675333261,287578.052800045,80819.6227214487,68182.3459182134,95854.3824453046,0.399566810293412,0.335274782047274,0.481443034991319
"1992",835413.776885727,667931.447106461,1000532.88840584,301917.28358407,270776.994094817,334947.37742181,79955.55612948,67572.0407611907,94910.2732752372,0.340603405763963,0.291142243793538,0.413337885914496
"1993",509519.466226385,412731.122708697,618598.158099018,377662.852870038,334635.951237325,420524.259247737,91300.1520747772,76864.4024173043,108817.728688935,0.324161255591479,0.272307173447974,0.38889934839949
"1994",561435.586471778,455565.537390691,677424.658749333,384939.016955877,341513.593828026,426638.204301452,101798.876657366,85197.0393967968,119255.89252928,0.349287751517779,0.300906354318145,0.410896221214988
"1995",222317.796280793,182776.976192246,271647.111670392,364932.346420606,327681.833611127,405654.819945732,104669.606879268,87664.4203747772,123572.61115486,0.38428292988619,0.324188312047906,0.450528078965019
"1996",233122.656042295,188389.561809106,283093.987773924,291598.196663996,260831.688229205,324706.393261206,89074.5490105042,74225.7103110181,104616.306819937,0.394634470662338,0.3325036394376,0.464381592651308
"1997",642157.775864396,524000.829009763,790440.105453255,264148.16596829,236418.024923855,293245.360333724,80914.7163040744,68824.2848091783,95552.7980009911,0.379866187873599,0.31660798367232,0.45349193672608
"1998",344992.952514199,283088.870555948,419290.363921869,267227.100606661,239935.573522785,296867.69275583,73556.6117068389,62673.3049520551,87122.7428202884,0.355795535947296,0.303322859569747,0.427438050060128
"1999",481943.048024659,390456.842114815,585522.412154736,269941.447698503,239273.559619578,303223.832020433,74035.3246658656,61904.5425847355,88704.3913109046,0.348405333534715,0.294797383004679,0.418530951832316
"2000",418060.044180306,337712.561649071,511116.939778499,300984.367503259,265081.404052764,338371.951693129,86519.1401595428,73022.7801396292,103066.199213776,0.381314564177144,0.324993642215954,0.443598029679901
"2001",498115.388187708,408742.41376016,610109.439362279,283122.354532009,250090.659077737,317652.256363743,95240.0982545501,79094.4606559033,113190.961623839,0.454891674622463,0.393924749818872,0.531195022594189
"2002",1107859.32628347,918863.51849901,1374105.36608613,303339.250735906,271524.400346836,340677.922343379,112027.094153335,92536.1091739125,132969.855691128,0.491717836061789,0.417916485911796,0.581665674249994
"2003",744682.833727858,610492.995509177,917327.598306291,333691.519358462,298572.913759737,375739.184607844,90219.7053884567,74683.9776571844,109694.709949044,0.375471294835419,0.307166297746514,0.461585518251687
"2004",533929.525271688,440436.040052984,652491.428397846,410238.850042825,368926.593405697,461576.405896347,71009.1554075645,58924.5496624322,86922.7481975683,0.227207240684373,0.180647870859643,0.288580561862011
"2005",751459.546847159,617455.907408137,919415.322424168,459358.80189926,415100.057853592,517896.515284196,67083.3063528794,56272.0806933206,81811.4839442541,0.180666228276791,0.146915682351307,0.228107067974853
"2006",535236.075285586,431414.62425495,652599.153323364,537451.464379094,482774.33926045,608957.549411391,102747.221818472,85734.8227060612,124618.025266659,0.242078331899863,0.195975795632742,0.300732909219921
"2007",566628.013409632,470555.263374091,694025.24200769,491435.040017298,441929.894736872,555744.62883333,132762.593851358,113127.047155085,160091.619521349,0.347610361180487,0.276458583805207,0.428494990209757
"2008",515261.924058601,422066.825909135,623599.242648369,492524.502776622,436718.489609008,563368.923866882,112558.767331031,95913.1731064242,135538.455724093,0.285338893910979,0.222536527564827,0.359768036312061
"2009",452512.15066368,368679.741424581,550771.3259406,454372.098272212,397811.011404989,522268.488506897,56185.6714107981,48013.725891047,67400.2401620234,0.143779945266777,0.113844438420483,0.184838006105454
"2010",440105.894480598,352341.064389522,543315.989487454,413992.398725145,358821.30276334,479507.970906706,36381.4553416831,30018.2467451246,43972.4206676781,0.0964747727602556,0.0764228489914048,0.120894691628519
"2011",545837.097656673,435712.190735113,688824.839467643,402578.042826054,350519.714091894,462879.202109709,51556.5518520235,43238.1375610171,60264.5482495541,0.140107720837485,0.114642257923976,0.170442415928529
"2012",468426.094407008,360194.430561368,599795.817412896,414762.573233159,358842.521580137,477978.858512295,95613.663324198,80827.8143371554,114532.532517716,0.277503847730377,0.224790319153048,0.340233432432688
"2013",466693.106143911,356096.937470396,615517.37594877,405059.827841689,344494.935272354,471938.698403723,111676.59491244,94823.238550569,133728.42570836,0.342415646793787,0.278190465718478,0.432207170597692
"2014",337917.998166873,255985.557352038,462483.147891283,394936.219504828,325324.487064278,463697.009999319,80863.4255335406,66367.1762303622,97224.3486738235,0.252400034569684,0.193968757686147,0.329481070298864
"2015",360420.145116918,262644.567772543,513073.537514233,368254.551962589,296161.557834911,443809.077072138,59852.6509621772,49664.0153493769,70631.882178692,0.19063800088562,0.14347128366559,0.263173166325614
"2016",397321.736258191,287594.340027758,564916.59645472,385136.763772796,305590.352256542,467283.182488384,66248.7939469223,50779.4570678953,85302.9959050408,0.200826673911553,0.142974178292422,0.288343556665457
