"","R(age 1)","Low","High","SSB","Low","High","Fbar","Low","High","Catch","Low","High"
"1",401376.276585833,266749.908660741,603947.406073159,152500.119738565,99664.645485753,233345.39953389,0.457531197339224,0.327217236134831,0.639742572889426,128580.712479541,105733.664901768,156364.575436842
"2",386017.525110025,261459.490526284,569914.403918298,164368.912204812,117291.021567939,230342.774222866,0.433699037013642,0.312254459410591,0.602376840547313,131298.284380908,107900.653245374,159769.556187641
"3",1218289.85591383,860872.615804824,1724099.64700172,211450.860673281,154130.38036174,290088.601445963,0.60130167467287,0.442949852839591,0.816263289504545,207169.81878138,170483.122873147,251751.217895306
"4",1512862.02103611,1069134.7693056,2140751.1572933,215115.921674135,154042.079190619,300404.019478665,0.622366407433681,0.46514134424763,0.832736005715492,254120.23300983,209229.806047412,308641.937995857
"5",1031336.16235065,719827.032380952,1477652.59142041,227275.730603167,164676.751796922,313670.613232055,0.578068429371286,0.433729597516788,0.770441101896099,274583.478544614,225923.165123524,333724.46180292
"6",500497.336588501,336837.276403608,743675.363388315,249715.468249715,190695.980903004,327001.202583772,0.647537014733923,0.490608203916588,0.854661993222213,303811.487857065,250004.577933417,369198.919943402
"7",235489.376023444,150520.06809178,368424.27008535,256759.010227597,196300.610802766,335837.922579333,0.507476441900358,0.373779944593193,0.688994534910469,207104.250199231,170221.16428944,251979.06869943
"8",1330987.29561174,948199.41790349,1868306.54779009,288260.415679229,215395.27371154,385774.793549288,0.598087954744691,0.438235767897708,0.816248302430173,242445.469715994,199434.509055686,294732.371364058
"9",2350619.51998608,1686803.37908031,3275670.53532475,274463.661918054,193320.525797412,389665.305340672,0.917296919507985,0.69812267425912,1.20528048946671,401928.363591108,331041.447338264,487994.51173845
"10",413917.971881047,271330.457842128,631436.989450721,186058.811451991,130844.059708431,264573.580153878,1.00434460469992,0.779983673643188,1.29324256272996,382406.661607127,314940.762881649,464324.952741862
"11",872976.474684549,623628.204573394,1222022.86516849,155759.576886074,117691.044375681,206141.817505546,0.995645138381915,0.768977118388206,1.28912709868578,264408.208606158,217835.064687032,320938.692210829
"12",1035520.37679761,734981.849785758,1458950.92657816,152476.875172394,112477.46738129,206700.933116896,1.00807221598473,0.761041737619224,1.33528759647188,248198.193814288,204523.306661618,301199.625696428
"13",1574002.18463507,1131806.55799131,2188963.17550317,116519.141724913,78564.4821546801,172809.773780221,1.03254590649481,0.76201484952832,1.39912109282271,239838.444980121,197517.071474982,291227.88861199
"14",1285811.33305877,907985.767111544,1820855.39675564,99512.6072559486,65715.8857886934,150690.489582969,1.42840350692064,1.04840086574906,1.94614163841367,301140.147123308,248160.933318912,365429.751559273
"15",3388719.25535854,2451471.92929575,4684295.20012356,73133.7183648053,47455.5276083804,112706.380719243,1.35008338297176,0.996307385423737,1.82948070810622,341700.891890613,281651.855127474,414552.566912779
"16",602395.905461907,403877.145364003,898493.096434603,77579.1354416126,53337.3454005969,112838.803856195,1.13161766533585,0.826626509861902,1.54913800274092,331002.116856817,272355.432529983,402277.27549232
"17",2724114.60846778,1930657.0369038,3843665.78746081,96985.0235591357,68080.6581898853,138161.043750948,1.43089414436743,1.03585992704589,1.9765781057136,413721.226412788,341071.189921507,501846.119644092
"18",5111428.15652616,3653015.03322651,7152091.50843602,92832.7881921683,59444.3944319602,144974.587526432,1.62861026828272,1.24926693618882,2.12314224376065,560559.023967942,462833.053803854,678919.573201137
"19",1235105.27642628,873654.047445732,1746097.38066921,80594.2542181828,57352.4257115071,113254.735652477,1.19849986107275,0.917662016735374,1.56528426675158,390696.363414854,321939.54237049,474137.61994458
"20",1859148.3242413,1364652.61103574,2532829.57404513,91540.8026783773,68130.6100155071,122994.91451925,1.24635533401271,0.967737799559129,1.60518853281293,359287.488092329,295841.072700057,436340.694419308
"21",685881.131122138,507738.560273925,926525.899028792,89564.9208399186,66820.4296540621,120051.234129909,1.07797049041664,0.817216985274224,1.42192391879761,286600.973278556,237586.424048821,345727.320965684
"22",2321680.39499102,1805862.25478838,2984834.44249035,92793.44280861,67685.0247922194,127216.07260554,1.46149668941468,1.1589679904906,1.84299531194636,351628.180373616,293306.923335812,421546.057715454
"23",423364.116576071,300530.236615252,596403.13474914,78205.7094789011,57910.5638231784,105613.425104494,1.07994044610482,0.820116343557901,1.42208038687957,242206.006695021,201584.097603137,291013.777260552
