"","year","fleet","age","logObs","pred","predSd"
"1",52,1,1,7.88765910391736,8.06745015951386,0.217067184146843
"2",52,1,2,7.45091061973866,7.82077860402514,0.190400199867651
"3",52,1,3,6.60723109851706,7.00988559550377,0.201273977221082
"4",52,1,4,5.65059264614208,6.0976356299697,0.235105667370192
"5",52,1,5,5.84458735124722,5.89113437092855,0.247603596778131
"6",52,1,6,NA,5.13068535484818,0.284707137593526
"7",52,2,1,8.15960640330251,8.61759722907752,0.218666424973026
"8",52,2,2,7.29796460719885,7.64820782409956,0.20633508761774
"9",52,2,3,6.41475320123927,6.67626169658179,0.220178117674171
"10",52,2,4,5.68266097803409,5.65663038299313,0.251641012370351
"11",52,2,5,NA,5.42997612393241,0.26495592111706
"12",52,2,6,NA,4.66650735626469,0.298435201077549
"13",53,1,1,7.42197912225428,7.43481276033044,0.29113660146366
"14",53,1,2,8.18014719022361,8.37810297326586,0.253044360706797
"15",53,1,3,7.12641680099248,7.45086377582613,0.257738832557764
"16",53,1,4,6.09921969334805,6.5610914526778,0.276280601159672
"17",53,1,5,5.27796158629096,5.49900937219562,0.314829612549579
"18",53,1,6,NA,5.5666291001083,0.304201173643349
"19",53,2,1,7.54934597262768,7.99009124137584,0.293605830724001
"20",53,2,2,8.04354131540374,8.22620182917801,0.2733329870455
"21",53,2,3,6.98663115232304,7.14330389834074,0.282138651544099
"22",53,2,4,6.12922448681247,6.14662360011028,0.299546361318743
"23",53,2,5,NA,5.06442150303581,0.333689496825542
"24",53,2,6,NA,5.12902373675918,0.324114097222518
"25",54,1,1,6.85177734457268,7.16062242705394,0.361800482075779
"26",54,1,2,6.99324466499755,7.57762471440633,0.32747332513021
"27",54,1,3,7.55122890529851,7.9846712792352,0.322666939592593
"28",54,1,4,6.42797602362147,7.15904203222257,0.337121763078692
"29",54,1,5,5.84840216426614,6.06757087930177,0.360396830215227
"30",54,1,6,NA,5.59337215455074,0.357728667774144
"31",54,2,1,7.27891185605803,7.72069001381432,0.364409000081942
"32",54,2,2,7.04880335046032,7.44501437782225,0.34835806640817
"33",54,2,3,7.44016429647934,7.70143674663031,0.349518697606565
"34",54,2,4,6.72179912503503,6.76934131978348,0.363284161808958
"35",54,2,5,NA,5.65778093344196,0.383945937270728
"36",54,2,6,NA,5.18056682131335,0.379816781843128
