Year,	R(age 1),	Low,	High,	SSB,	Low,	High,	Fbar(6-9),	Low,	High,	Catch,	Low,	High
1980,	46338,	27149,	79091,	42828,	32224,	56922,	0.366,	0.252,	0.533,	14333,	9827,	20905
1981,	24390,	14814,	40156,	35655,	28051,	45319,	0.461,	0.338,	0.63,	15951,	11943,	21302
1982,	18169,	11269,	29293,	29778,	23385,	37918,	0.635,	0.472,	0.853,	17104,	12910,	22661
1983,	21682,	13430,	35004,	21185,	16715,	26850,	0.691,	0.524,	0.913,	13395,	10274,	17464
1984,	8986,	5494,	14697,	17375,	13720,	22002,	0.679,	0.516,	0.895,	10418,	7954,	13646
1985,	26514,	16202,	43390,	11829,	9315,	15022,	0.753,	0.571,	0.993,	7479,	5694,	9824
1986,	23542,	14390,	38514,	8069,	6362,	10236,	0.72,	0.548,	0.946,	5588,	4285,	7286
1987,	43963,	27064,	71415,	7370,	5894,	9216,	0.689,	0.524,	0.908,	4539,	3473,	5930
1988,	92402,	55816,	152968,	6468,	5205,	8039,	0.657,	0.503,	0.859,	3724,	2871,	4830
1989,	30701,	18934,	49780,	6040,	4902,	7444,	0.648,	0.495,	0.849,	2889,	2224,	3752
1990,	31776,	18360,	54996,	6171,	4994,	7626,	0.569,	0.435,	0.744,	3142,	2398,	4118
1991,	12463,	7600,	20438,	10011,	8030,	12482,	0.484,	0.362,	0.648,	4510,	3355,	6063
1992,	25241,	15679,	40635,	11436,	9168,	14265,	0.533,	0.403,	0.705,	5728,	4274,	7677
1993,	56221,	34721,	91035,	11010,	8916,	13595,	0.585,	0.444,	0.77,	5962,	4523,	7859
1994,	42952,	26541,	69512,	10976,	8888,	13554,	0.674,	0.513,	0.885,	6309,	4793,	8304
1995,	17109,	10571,	27691,	10344,	8389,	12755,	0.745,	0.558,	0.994,	6693,	5062,	8851
1996,	15021,	9317,	24219,	10788,	8694,	13385,	0.663,	0.494,	0.891,	6385,	4803,	8486
1997,	10655,	6545,	17344,	11700,	9311,	14701,	0.562,	0.414,	0.762,	5855,	4365,	7854
1998,	27405,	16896,	44451,	11643,	9234,	14679,	0.433,	0.317,	0.592,	4252,	3186,	5674
1999,	27278,	16820,	44239,	11409,	9074,	14346,	0.344,	0.246,	0.481,	3879,	2876,	5232
2000,	13366,	8265,	21616,	13785,	10942,	17367,	0.292,	0.206,	0.414,	4302,	3193,	5798
2001,	7830,	4429,	13842,	16689,	13253,	21017,	0.268,	0.186,	0.385,	3938,	2925,	5303
2002,	21494,	13235,	34906,	16439,	12942,	20882,	0.226,	0.155,	0.331,	3520,	2607,	4752
2003,	22695,	13944,	36938,	15454,	12082,	19766,	0.23,	0.156,	0.339,	3289,	2417,	4476
2004,	39962,	24424,	65386,	13002,	10090,	16756,	0.199,	0.134,	0.296,	2456,	1799,	3353
2005,	50019,	30521,	81975,	11058,	8582,	14249,	0.172,	0.117,	0.253,	1896,	1401,	2566
2006,	69939,	42106,	116169,	11113,	8674,	14240,	0.143,	0.098,	0.209,	1544,	1144,	2084
2007,	44329,	26292,	74740,	13222,	10453,	16724,	0.129,	0.089,	0.186,	1688,	1252,	2274
2008,	37758,	23062,	61820,	14934,	11932,	18692,	0.118,	0.082,	0.169,	1582,	1169,	2142
2009,	30881,	18874,	50528,	15924,	12713,	19948,	0.114,	0.08,	0.164,	1674,	1230,	2278
2010,	19136,	11399,	32124,	14252,	11285,	18000,	0.132,	0.092,	0.189,	1902,	1392,	2598
2011,	28649,	17375,	47236,	14528,	11473,	18396,	0.122,	0.086,	0.173,	1804,	1330,	2446
2012,	18777,	11368,	31014,	14481,	11335,	18501,	0.124,	0.087,	0.178,	1807,	1323,	2468
2013,	14906,	8949,	24828,	13886,	10660,	18089,	0.089,	0.063,	0.126,	1201,	897,	1607
2014,	21649,	12658,	37025,	15240,	11631,	19968,	0.063,	0.044,	0.09,	909,	671,	1233
2015,	10175,	5984,	17302,	16531,	12560,	21757,	0.061,	0.042,	0.086,	883,	655,	1189
2016,	18730,	8992,	39017,	21214,	16168,	27835,	0.057,	0.039,	0.085,	949,	679,	1326
