"","year","fleet","age","logObs","pred","predSd"
"1",2014,1,1,7.46463017123533,5.0788161586416,0.365099849863362
"2",2014,1,2,8.44807459774087,6.98541176904639,0.294738698114071
"3",2014,1,3,8.5085983614565,7.53200292789884,0.266679757071135
"4",2014,1,4,8.72162190757381,7.76216265186378,0.248214090705714
"5",2014,1,5,8.11339669040862,7.35585209600679,0.239097055845292
"6",2014,1,6,7.28097263954018,6.80771601655405,0.25888923740306
"7",2014,1,7,7.67276720325346,7.04308693720388,0.283658865259386
"8",2014,1,8,6.80567825564737,5.74585279862595,0.212062136904354
"9",2014,1,9,NA,NA,NA
"10",2014,1,10,NA,NA,NA
"11",2014,1,11,NA,NA,NA
"12",2014,2,1,NA,NA,NA
"13",2014,2,2,8.12614269185408,7.17651885547062,0.284246442807765
"14",2014,2,3,8.35762285172825,7.84202265252433,0.258369068910366
"15",2014,2,4,8.06835909795871,8.05951507796439,0.250313112784737
"16",2014,2,5,7.46694240362601,7.78819324365191,0.241717414412653
"17",2014,2,6,6.92308714297912,7.35246867329125,0.245356124138809
"18",2014,2,7,7.44917800072551,7.63675711126723,0.269975224963176
"19",2014,2,8,6.26794031279896,6.29390091434303,0.209294804923609
"20",2014,2,9,NA,NA,NA
"21",2014,2,10,NA,NA,NA
"22",2014,2,11,NA,NA,NA
"23",2014,3,1,4.31708803351497,6.21182850195581,0.368013635342494
"24",2014,3,2,6.12885411240328,7.47309839291959,0.294436096828294
"25",2014,3,3,6.76734312526539,7.49185783084952,0.264332388679638
"26",2014,3,4,6.88392354572879,7.05619991246878,0.263205174743072
"27",2014,3,5,6.07048365415802,6.27587624798632,0.237964019161799
"28",2014,3,6,NA,NA,NA
"29",2014,3,7,NA,NA,NA
"30",2014,3,8,NA,NA,NA
"31",2014,3,9,NA,NA,NA
"32",2014,3,10,NA,NA,NA
"33",2014,3,11,NA,NA,NA
"34",2014,4,1,NA,NA,NA
"35",2014,4,2,6.22110693516202,7.62759761243859,0.287572309548759
"36",2014,4,3,7.2021696386473,7.60799938443259,0.264971799262304
"37",2014,4,4,6.71418266575816,7.30475770228795,0.260537045069331
"38",2014,4,5,5.5307773844996,6.39682852759875,0.256466808454991
"39",2014,4,6,4.72233080576167,5.26670071676348,0.239284745003036
"40",2014,4,7,NA,NA,NA
"41",2014,4,8,NA,NA,NA
"42",2014,4,9,NA,NA,NA
"43",2014,4,10,NA,NA,NA
"44",2014,4,11,NA,NA,NA
"45",2015,1,1,4.84268990324681,4.41852744936321,0.377042790491523
"46",2015,1,2,8.76509179239597,7.9915234814197,0.318075293823822
"47",2015,1,3,8.71858671648321,7.97815347103637,0.30250755187366
"48",2015,1,4,8.14987899365711,7.84247725276248,0.284818084392934
"49",2015,1,5,7.57084008052704,7.48431887106499,0.269855065099947
"50",2015,1,6,6.72713227882376,6.38302339322353,0.292849078506572
"51",2015,1,7,6.18918772107528,6.10857200748552,0.313332355436048
"52",2015,1,8,6.6052979209482,6.358215818008,0.24667520845079
"53",2015,1,9,NA,NA,NA
"54",2015,1,10,NA,NA,NA
"55",2015,1,11,NA,NA,NA
"56",2015,2,1,NA,NA,NA
"57",2015,2,2,9.69151264903144,8.18263056784394,0.309554174617108
"58",2015,2,3,8.90097967364275,8.28817319566186,0.294971383972032
"59",2015,2,4,8.68884300720328,8.13982967886309,0.286251953510857
"60",2015,2,5,7.94051262485422,7.91666001871011,0.27360433297829
"61",2015,2,6,6.78701036128056,6.92777604996074,0.281844820014672
"62",2015,2,7,6.45873005612159,6.70224218154887,0.301407259641318
"63",2015,2,8,7.29185373734841,6.90626393372509,0.244219525960693
"64",2015,2,9,NA,NA,NA
"65",2015,2,10,NA,NA,NA
"66",2015,2,11,NA,NA,NA
"67",2015,3,1,5.53382417684564,5.55153979267742,0.378791982825011
"68",2015,3,2,7.86720128117022,8.47921010529291,0.317934592997604
"69",2015,3,3,8.00753688373365,7.93800837398705,0.300610719597955
"70",2015,3,4,7.01783762921225,7.13651451336748,0.297178563154761
"71",2015,3,5,6.17230584218829,6.40434302304452,0.270248098483824
"72",2015,3,6,NA,NA,NA
"73",2015,3,7,NA,NA,NA
"74",2015,3,8,NA,NA,NA
"75",2015,3,9,NA,NA,NA
"76",2015,3,10,NA,NA,NA
"77",2015,3,11,NA,NA,NA
"78",2015,4,1,NA,NA,NA
"79",2015,4,2,7.85650158427579,8.63370932481191,0.311295883967219
"80",2015,4,3,6.64640350177639,8.05414992757012,0.300507832123148
"81",2015,4,4,5.51572449601031,7.38507230318665,0.294854795819376
"82",2015,4,5,4.52818114445996,6.52529530265694,0.287031870754189
"83",2015,4,6,2.90526037038992,4.84200809343297,0.275954442743897
"84",2015,4,7,NA,NA,NA
"85",2015,4,8,NA,NA,NA
"86",2015,4,9,NA,NA,NA
"87",2015,4,10,NA,NA,NA
"88",2015,4,11,NA,NA,NA
"89",2016,1,1,7.04920275656612,4.89187361723909,0.448728091647341
"90",2016,1,2,7.41611386210434,6.65009953454083,0.360611911951485
"91",2016,1,3,9.45543326435472,8.63006445283367,0.348406812002174
"92",2016,1,4,8.64923146990042,7.99305901382489,0.339629113173211
"93",2016,1,5,7.89753064591867,7.49003630253768,0.31537728426001
"94",2016,1,6,7.0471432383909,7.0804685620704,0.333381110601871
"95",2016,1,7,6.09836637433463,5.88342867493922,0.373284732955261
"96",2016,1,8,6.50472221106526,5.42660399100035,0.2872380384756
"97",2016,1,9,NA,NA,NA
"98",2016,1,10,NA,NA,NA
"99",2016,1,11,NA,NA,NA
"100",2016,2,1,NA,NA,NA
"101",2016,2,2,7.6670365820305,6.84120662096506,0.353163655864662
"102",2016,2,3,9.67722664731933,8.94008417745916,0.341835835327502
"103",2016,2,4,8.8459241126549,8.2904114399255,0.338540283426209
"104",2016,2,5,8.45391467613778,7.9223774501828,0.319090318845327
"105",2016,2,6,8.06535319999812,7.6252212188076,0.322668776379265
"106",2016,2,7,6.96832342861581,6.47709884900257,0.363124506322127
"107",2016,2,8,6.31160775934014,5.97465210671743,0.285160752467663
