"","year","fleet","age","logObs","pred","predSd"
"1",2014,"NEFSC_Spring",1,7.46463017123533,7.08238984181537,0.824597789538445
"2",2014,"NEFSC_Spring",2,8.44807459774087,7.55746140938015,0.796768139908569
"3",2014,"NEFSC_Spring",3,8.5085983614565,7.8411825908972,0.794574235067004
"4",2014,"NEFSC_Spring",4,8.72162190757381,7.96790051490273,0.788448783625706
"5",2014,"NEFSC_Spring",5,8.11339669040862,7.33132926547152,0.785979078506448
"6",2014,"NEFSC_Spring",6,7.28097263954018,6.8190268144899,0.791258568412956
"7",2014,"NEFSC_Spring",7,7.67276720325346,6.77815499193507,0.786547613439707
"8",2014,"NEFSC_Spring",8,6.80567825564737,6.12896970100809,0.80959852619271
"9",2015,"NEFSC_Spring",1,4.84268990324681,6.97557216310754,0.820908193472328
"10",2015,"NEFSC_Spring",2,8.76509179239597,7.79884848043061,0.801577642094974
"11",2015,"NEFSC_Spring",3,8.71858671648321,7.98595568049057,0.801314243014636
"12",2015,"NEFSC_Spring",4,8.14987899365711,7.80757445039102,0.789281199275998
"13",2015,"NEFSC_Spring",5,7.57084008052704,7.56519703997899,0.787969709631855
"14",2015,"NEFSC_Spring",6,6.72713227882376,6.77691172697908,0.79104229489075
"15",2015,"NEFSC_Spring",7,6.18918772107528,6.31703013142981,0.787139113759873
"16",2015,"NEFSC_Spring",8,6.6052979209482,6.3720257295288,0.811342063497388
"17",2016,"NEFSC_Spring",1,7.04920275656612,7.02332217157304,0.831530747341073
"18",2016,"NEFSC_Spring",2,7.41611386210434,7.71834778632216,0.801654576163434
"19",2016,"NEFSC_Spring",3,9.45543326435472,8.21358588198897,0.806620297690196
"20",2016,"NEFSC_Spring",4,8.64923146990042,7.97177949522203,0.796107214483427
"21",2016,"NEFSC_Spring",5,7.89753064591867,7.41440801723191,0.789281229619748
"22",2016,"NEFSC_Spring",6,7.0471432383909,6.9994126751631,0.79247352118965
"23",2016,"NEFSC_Spring",7,6.09836637433463,6.28540632668694,0.786852616918146
"24",2016,"NEFSC_Spring",8,6.50472221106526,5.91100861062331,0.810705534612292
"25",2014,"NEFSC_Fall",2,8.12614269185408,8.57064770729915,0.708735819694327
"26",2014,"NEFSC_Fall",3,8.35762285172825,8.37009142456265,0.687250117725525
"27",2014,"NEFSC_Fall",4,8.06835909795871,8.38687487153991,0.682319434251486
"28",2014,"NEFSC_Fall",5,7.46694240362601,7.90797697337931,0.682559338107444
"29",2014,"NEFSC_Fall",6,6.92308714297912,7.55043525318664,0.680618374321142
"30",2014,"NEFSC_Fall",7,7.44917800072551,7.46407880204616,0.681281141199007
"31",2014,"NEFSC_Fall",8,6.26794031279896,6.62673269890579,0.695214002813894
"32",2015,"NEFSC_Fall",2,9.69151264903144,8.79090920891429,0.709719386267995
"33",2015,"NEFSC_Fall",3,8.90097967364275,8.52275101140217,0.693800575315232
"34",2015,"NEFSC_Fall",4,8.68884300720328,8.25075942428262,0.686931206442005
"35",2015,"NEFSC_Fall",5,7.94051262485422,8.13277791835628,0.684922125074534
"36",2015,"NEFSC_Fall",6,6.78701036128056,7.4970877762971,0.681044073436961
"37",2015,"NEFSC_Fall",7,6.45873005612159,7.00255388233569,0.681667231068143
"38",2015,"NEFSC_Fall",8,7.29185373734841,6.8668980172511,0.696529611924495
"39",2016,"NEFSC_Fall",2,7.6670365820305,8.73449557522985,0.710954610341254
"40",2016,"NEFSC_Fall",3,9.67722664731933,8.73478258594416,0.698029862410672
"41",2016,"NEFSC_Fall",4,8.8459241126549,8.39723167638857,0.692704829174885
"42",2016,"NEFSC_Fall",5,8.45391467613778,7.9976352939955,0.688971872334541
"43",2016,"NEFSC_Fall",6,8.06535319999812,7.72702006591479,0.683456260046073
"44",2016,"NEFSC_Fall",7,6.96832342861581,6.96612101063434,0.681955412366619
"45",2016,"NEFSC_Fall",8,6.31160775934014,6.40594840500111,0.69628059755677
"46",2014,"MADMF_Spring",1,4.31708803351497,6.19285325808096,0.926473483262901
"47",2014,"MADMF_Spring",2,6.12885411240328,7.03366674933779,0.916002937775305
"48",2014,"MADMF_Spring",3,6.76734312526539,7.35075896022021,0.911245853327346
"49",2014,"MADMF_Spring",4,6.88392354572879,7.12198459894005,0.907476874505637
"50",2014,"MADMF_Spring",5,6.07048365415802,5.91871418570405,0.909727456944265
"51",2015,"MADMF_Spring",1,5.53382417684564,6.09298325697727,0.927101925677173
"52",2015,"MADMF_Spring",2,7.86720128117022,7.23296500655673,0.923287370983213
"53",2015,"MADMF_Spring",3,8.00753688373365,7.48223865200998,0.918839193174412
"54",2015,"MADMF_Spring",4,7.01783762921225,6.96151401820883,0.91050920878354
"55",2015,"MADMF_Spring",5,6.17230584218829,6.10977267047535,0.913717262839346
"56",2016,"MADMF_Spring",1,5.04064706816423,6.102697231073,0.92954011835232
