"Year","Index","Age","logObs","Pred"
2014,1,"1",-1.9741452044094,-0.769347465486998
2014,1,"2",-3.89236519479386,-1.71998891058541
2014,1,"3",-1.16939409847646,-1.11449484608067
2014,1,"4",-0.779939488935947,-1.56597555405316
2014,1,"5",-1.17715117011783,-1.89482101529475
2014,1,"6",-4.29783040461529,-2.55935725351386
2014,1,"7",-2.65655157596971,-2.51847544416737
2014,1,"8",-3.8214130315331,-2.88081309577946
2014,1,"9",-3.1943280884792,-2.51320385197675
2014,2,"1",0.269423148375237,-0.650001979339725
2014,2,"2",1.81524832296698,-1.7232631524627
2014,2,"3",1.27662899504471,-1.24226788361626
2014,2,"4",-1.49794412709384,-1.82221109899777
2014,2,"5",-2.64422816153627,-2.28518093250625
2014,2,"7",-5.44829293797447,-3.17956370125777
2015,1,"1",-4.16727726356766,-1.0544646116213
2015,1,"2",-2.0951198288967,-0.746426723084871
2015,1,"3",-2.61219323374072,-1.71885886121009
2015,1,"4",-1.9743633593047,-1.14799768362748
2015,1,"5",-1.22760367469079,-1.65325268171592
2015,1,"6",-0.923677062197066,-2.05967873208983
2015,1,"7",-1.07975989879277,-2.82254630553547
2015,1,"8",-0.459386194017565,-2.88650052267694
2015,1,"9",-1.62187247244401,-2.55661495484106
2015,2,"1",-2.98982164912059,-0.932616075474024
2015,2,"2",0.48037726484924,-0.744849964962161
2015,2,"3",-0.545488941235713,-1.83742599874568
2015,2,"4",-0.978504027990599,-1.38741182857209
2015,2,"5",-2.54472824692208,-2.01475039892742
2015,2,"6",-3.19425481367042,-2.54266649992825
2015,2,"7",-4.62544468902572,-3.42047456262587
2015,2,"8",-3.67307774383861,-3.58496790843823
2015,2,"9",-4.48302417271341,-3.33641949746281
2016,1,"2",-2.19734498430885,-1.02666729139412
2016,1,"3",0.790253181466421,-0.735892578678451
2016,1,"4",0.0895455862337904,-1.73466418989554
2016,1,"5",0.0275936886408359,-1.2033704328311
2016,1,"6",-1.4486160166616,-1.76437571193226
2016,1,"7",-2.67657214027259,-2.2405165305411
2016,1,"8",-3.53703788422333,-3.07755921605378
2016,1,"9",-3.9322464837675,-2.43392495855069
2016,2,"1",-4.40631932593145,-1.2412330463274
2016,2,"2",-0.538196883083536,-1.02284768327141
2016,2,"3",-0.131020276517291,-0.850203416214041
2016,2,"4",-1.76726215570731,-1.96630098484016
2016,2,"5",-3.18447448981754,-1.5515237000426
2016,2,"6",-5.44914021605006,-2.22648067977067
2016,2,"8",-4.89285235010654,-3.73948285181508
2016,2,"9",-5.44914021605006,-3.17187970117244
