"","age1","age2","age3","age4","age5","age6"
"M.age",0.405,0.336,0.296,0.275,0.256,0.2311
"mat.age",0.0072,0.4703,0.9817,0.9984,0.9968,1
"SSB.waa",0.08236,0.2413,0.35318,0.44548,0.53632,0.679
"catch.waa",0.0952,0.2802,0.3698,0.4594,0.5506,0.679
"jan1.waa",0.062,0.1813,0.32254,0.419,0.50898,0.679
"sel.age",0.0174462740450256,0.175659929356145,0.577640588966272,1,1,1
"spawn.time",0.4167,NA,NA,NA,NA,NA
"F30%",0.549151877352283,NA,NA,NA,NA,NA
"F35%",0.430916212531668,NA,NA,NA,NA,NA
"F40%",0.344762704149119,NA,NA,NA,NA,NA
"F45%",0.279118904210285,NA,NA,NA,NA,NA
"F50%",0.227368162853646,NA,NA,NA,NA,NA
