"Year","Index","Age","logObs","Pred"
2014,1,"1",2.63919939425189,4.31803074690929
2014,1,"2",6.47398444391478,7.24251102579051
2014,1,"3",6.31306728420562,7.01486393867022
2014,1,"4",7.03366075477478,7.68036539832577
2014,1,"5",5.43926061747811,6.38428433981133
2014,1,"6",4.60964992177419,7.04118659874069
2014,2,"1",3.71965110954336,6.18913238964044
2014,2,"2",5.10059171905094,7.08679462616896
2014,2,"3",4.19195501122751,6.3754857381449
2014,2,"4",4.82847358131537,7.03585698040152
2014,2,"6",3.26652250863532,6.41860041068455
2015,1,"1",2.64560586993729,4.14447448296229
2015,1,"2",2.9433313804459,6.87977622187302
2015,1,"3",5.44348077339226,7.50603103170214
2015,1,"4",5.26159508603846,6.66727068932474
2015,1,"5",5.64269971973244,7.3187022877525
2015,2,"3",3.80231074750476,6.88723878117682
2015,2,"4",3.98034528362674,6.04730162140049
2015,2,"6",2.58978273174677,6.53041444681073
2016,1,"1",4.89309547882065,4.46579789910056
2016,1,"2",3.65340589372545,6.70973586744943
2016,1,"3",4.33128384081732,7.1604027348275
2016,1,"4",4.46864980872083,7.19658065641654
2016,1,"5",4.57573934875455,6.34980726592883
2016,1,"6",4.73013445173175,7.63121301279405
2016,2,"1",4.68629198448903,6.33832429183171
2016,2,"2",4.86967291151085,6.56570791782788
2016,2,"3",3.46739281508212,6.55379788430218
2016,2,"4",4.49032228099824,6.59113953849229
2016,2,"5",3.61998677944426,5.75448431918858
2016,2,"6",4.11092553895618,7.04843792473791
