"Year","Index","Age","logObs","Pred"
2014,1,"1",2.63919939425189,4.49079181032589
2014,1,"2",6.47398444391478,7.26306410960449
2014,1,"3",6.31306728420562,6.99863768726562
2014,1,"4",7.03366075477478,7.69567229887024
2014,1,"5",5.43926061747811,6.36832184071381
2014,1,"6",4.60964992177419,7.04972865382926
2014,2,"1",3.71965110954336,6.36129644357918
2014,2,"2",5.10059171905094,7.1269971010927
2014,2,"3",4.19195501122751,6.35776290837636
2014,2,"4",4.82847358131537,7.02739407564953
2014,2,"6",3.26652250863532,6.43488637078551
2015,1,"1",2.64560586993729,4.43946659289232
2015,1,"2",2.9433313804459,7.06375437692145
2015,1,"3",5.44348077339226,7.54184743586453
2015,1,"4",5.26159508603846,6.6531365777103
2015,1,"5",5.64269971973244,7.30603479223778
2015,2,"3",3.80231074750476,6.91989180697528
2015,2,"4",3.98034528362674,6.01675945448959
2015,2,"6",2.58978273174677,6.5421485668533
2016,1,"1",4.89309547882065,4.55947022409655
2016,1,"2",3.65340589372545,7.01471249083302
2016,1,"3",4.33128384081732,7.35463396728923
2016,1,"4",4.46864980872083,7.23346651095019
2016,1,"5",4.57573934875455,6.32095567145505
2016,1,"6",4.73013445173175,7.6294412576239
2016,2,"1",4.68629198448903,6.43102820734985
2016,2,"2",4.86967291151085,6.88577913232123
2016,2,"3",3.46739281508212,6.74304623839998
2016,2,"4",4.49032228099824,6.61457153772948
2016,2,"5",3.61998677944426,5.71021633526293
2016,2,"6",4.11092553895618,7.04115297458015
