year,	fleet,	age,	logObs,	pred,	predSd
2014,	2,	1,	2.63919977686788,	4.04096818911189,	0.922106765932967
2014,	2,	2,	6.47398444391478,	7.01235235174031,	0.840234509939999
2014,	2,	3,	6.31306728420562,	6.48642082343415,	0.820013353941703
2014,	2,	4,	7.03366051859488,	7.51867264561207,	0.821181615720722
2014,	2,	5,	5.43926085013291,	6.20859970737261,	0.844271776124525
2014,	2,	6,	4.60964965510216,	5.40483458200951,	0.876458630509903
2014,	3,	1,	3.71965110954336,	5.61457603230989,	1.04231838297388
2014,	3,	2,	5.10059171905094,	6.88348724486063,	0.973459533774185
2014,	3,	3,	4.19195501122751,	6.08906438857055,	0.960986471910201
2014,	3,	4,	4.82847358131537,	6.79199853791241,	0.96923502104203
2014,	3,	6,	3.26652250863532,	4.60854639843364,	1.03186310832615
2015,	2,	1,	2.64560586993729,	2.92283542580578,	1.05226807963076
2015,	2,	2,	2.94333176999758,	6.33866429268974,	0.949598174195991
2015,	2,	3,	5.44348077339226,	7.04229057593092,	0.891682842018386
2015,	2,	4,	5.26159508603846,	6.50865047050402,	0.879144530354667
2015,	2,	5,	5.64269971973244,	7.29692752356838,	0.894007905448163
2015,	3,	3,	3.80231074750476,	6.67684217405038,	1.02210288176928
2015,	3,	4,	3.98034528362674,	5.84359963643404,	1.01574143476071
2015,	3,	6,	2.58978273174677,	5.29531896079841,	1.06598711098861
2016,	2,	1,	4.89309547882065,	2.92290963482171,	1.37845790795961
2016,	2,	2,	3.65340589372545,	5.39449660999387,	1.07901714864343
2016,	2,	3,	4.33128384081732,	6.57580660292095,	1.00080089706471
2016,	2,	4,	4.46864980872083,	7.02134683737756,	0.963480235201443
2016,	2,	5,	4.57573934875455,	6.26158227072624,	0.953788857328409
2016,	2,	6,	4.73013445173175,	7.07083640804527,	0.963497590097548
2016,	3,	1,	4.68629156192486,	4.49711567612838,	1.46193074841011
2016,	3,	2,	4.86967291151085,	5.27764404954354,	1.1860384146915
2016,	3,	3,	3.46739295805502,	6.2196573125526,	1.11910574344679
2016,	3,	4,	4.49032228099824,	6.37609986699318,	1.08932009171547
2016,	3,	5,	3.61998702492249,	5.58082141155003,	1.08653978729495
2016,	3,	6,	4.11092553895618,	6.40177901886906,	1.09421302586323
