"","year","fleet","age","logObs","pred","predSd"
"1",2014,1,1,2.63919931677768,3.41523897018731,0.265697238041398
"2",2014,1,2,6.47398437351789,6.59821901853798,0.170175869211159
"3",2014,1,3,6.31306716920882,6.35217951594889,0.156164638746944
"4",2014,1,4,7.03366064777571,7.55272337028074,0.12122141953207
"5",2014,1,5,5.4392606390255,6.27502122764103,0.155938705954858
"6",2014,1,6,4.60964999041642,6.16017740133847,0.161693802554112
"7",2014,2,1,3.71965113643472,5.32470934194605,0.245398385168392
"8",2014,2,2,5.10059179810684,6.48898681584862,0.170305113024696
"9",2014,2,3,4.19195499690687,5.75388156063631,0.156750327037503
"10",2014,2,4,4.82847374815769,6.63710528481533,0.114290687651393
"11",2014,2,5,NA,5.08093752453259,0.200509025763522
"12",2014,2,6,3.26652250198958,5.10491244225,0.212408522404979
"13",2015,1,1,2.64560577360413,2.85410404352863,0.408054344505684
"14",2015,1,2,2.94333145643019,6.01493066234203,0.246133941060545
"15",2015,1,3,5.44348071399617,6.68593918034268,0.175797601624435
"16",2015,1,4,5.26159522157389,6.2470132703082,0.171938916464777
"17",2015,1,5,5.64269959692532,7.0797666147779,0.157916768497218
"18",2015,1,6,NA,6.13664895752158,0.168383589339885
"19",2015,2,1,NA,4.76458033643106,0.395099053512946
"20",2015,2,2,NA,5.91528806305231,0.246103929861168
"21",2015,2,3,3.80231081272128,6.11045628955608,0.177111484099579
"22",2015,2,4,3.98034535883475,5.36220071252821,0.166130595851462
"23",2015,2,5,NA,5.91648843935487,0.202899416751237
"24",2015,2,6,2.58978304828002,5.0896686503668,0.218036295229915
"25",2016,1,1,4.89309567381957,3.01349093319156,0.764331024270194
"26",2016,1,2,3.65340583663539,5.45802522209492,0.39549339806516
"27",2016,1,3,4.33128379164566,6.12350794444646,0.249947795688856
"28",2016,1,4,4.46864970424096,6.62373516959608,0.190740934448759
"29",2016,1,5,4.57573926058394,5.8290044444386,0.200507949057458
"30",2016,1,6,4.73013443066568,6.39125102789316,0.184815049027839
"31",2016,2,1,4.68629185077308,4.92453799292831,0.757480115088579
"32",2016,2,2,4.86967277875726,5.36382383219723,0.395522234315558
"33",2016,2,3,3.46739281386313,5.5609704840604,0.251285401987061
"34",2016,2,4,4.49032209845812,5.75640188802631,0.185813101890783
"35",2016,2,5,3.6199867819867,4.68320554522579,0.238444250922232
"36",2016,2,6,4.11092534943661,5.34897149135763,0.232068838427179
