"","year","fleet","age","logObs","pred","predSd"
"1",2014,"NEFSC_Spring",1,2.63919977686788,4.50345761178024,1.22425450052882
"2",2014,"NEFSC_Spring",2,6.47398444391478,6.15209363327005,1.11981894683736
"3",2014,"NEFSC_Spring",3,6.31306728420562,6.41593810786583,1.09322678179057
"4",2014,"NEFSC_Spring",4,7.03366051859488,7.08211725993891,1.09239874541736
"5",2014,"NEFSC_Spring",5,5.43926085013291,5.37001176239839,1.09902807785656
"6",2014,"NEFSC_Spring",6,4.60964965510216,5.59531256945945,1.12894289178504
"7",2015,"NEFSC_Spring",1,2.64560586993729,3.82617876998203,1.37805127259111
"8",2015,"NEFSC_Spring",2,2.94333176999758,5.79618134018246,1.1804470415797
"9",2015,"NEFSC_Spring",3,5.44348077339226,6.69633667337146,1.12547128954301
"10",2015,"NEFSC_Spring",4,5.26159508603846,5.9989962713947,1.11696448942714
"11",2015,"NEFSC_Spring",5,5.64269971973244,6.02893072141207,1.12415372220776
"12",2015,"NEFSC_Spring",6,1.94605259630794,5.53991331368124,1.1375370225029
"13",2016,"NEFSC_Spring",1,4.89309547882065,2.32074760666538,2.34894227759469
"14",2016,"NEFSC_Spring",2,3.65340589372545,5.10186092751998,1.32655936329987
"15",2016,"NEFSC_Spring",3,4.33128384081732,6.41831515535092,1.18099840226585
"16",2016,"NEFSC_Spring",4,4.46864980872083,6.37494218833748,1.14364126382454
"17",2016,"NEFSC_Spring",5,4.57573934875455,5.07164021876731,1.14348835981688
"18",2016,"NEFSC_Spring",6,4.73013445173175,5.84268403342747,1.15315151960607
"19",2014,"NEFSC_Fall",1,3.71965110954336,5.29295197809336,1.20007247754936
"20",2014,"NEFSC_Fall",2,5.10059171905094,6.51539244629558,1.10151263191776
"21",2014,"NEFSC_Fall",3,4.19195501122751,6.45748109766437,1.10004944231805
"22",2014,"NEFSC_Fall",4,4.82847358131537,6.80091887956411,1.09940142190023
"23",2014,"NEFSC_Fall",5,1.55814976754066,4.39492960788584,1.10098711346221
"24",2014,"NEFSC_Fall",6,3.26652250863532,3.73896320441376,1.12516692160295
"25",2015,"NEFSC_Fall",1,1.55814976754066,4.63668474693724,1.34006841929294
"26",2015,"NEFSC_Fall",2,1.55814976754066,6.1920069073112,1.16056812772256
"27",2015,"NEFSC_Fall",3,3.80231074750476,6.81176428950591,1.13362928551471
"28",2015,"NEFSC_Fall",4,3.98034528362674,5.77469880791277,1.1268592236809
"29",2015,"NEFSC_Fall",5,1.55814976754066,5.17433355177718,1.12333267232753
"30",2015,"NEFSC_Fall",6,2.58978273174677,3.72014126915,1.13299324818038
"31",2016,"NEFSC_Fall",1,4.68629156192486,3.00345370062196,2.28638999355154
"32",2016,"NEFSC_Fall",2,4.86967291151085,5.53933039847022,1.31288928536105
"33",2016,"NEFSC_Fall",3,3.46739295805502,6.51645386344361,1.18126255540509
"34",2016,"NEFSC_Fall",4,4.49032228099824,6.18009637386835,1.15419357094995
"35",2016,"NEFSC_Fall",5,3.61998702492249,4.25389362472772,1.13740714407147
"36",2016,"NEFSC_Fall",6,4.11092553895618,4.04543073491236,1.14703886018302
