Year,	R(age 1),	Low,	High,	SSB,	Low,	High,	Fbar(3-6),	Low,	High,	Catch,	Low,	High
1981,	75131,	46180,	122231,	17875,	13711,	23304,	0.54,	0.386,	0.754,	13468,	10175,	17826
1982,	57815,	37645,	88794,	20251,	15595,	26299,	0.47,	0.344,	0.643,	12743,	9992,	16253
1983,	44526,	29095,	68140,	21421,	16485,	27836,	0.579,	0.432,	0.777,	13543,	10749,	17062
1984,	31490,	20587,	48168,	18924,	14601,	24527,	0.705,	0.536,	0.929,	14684,	11737,	18370
1985,	29108,	19169,	44201,	12790,	10090,	16212,	1.043,	0.793,	1.371,	14053,	11024,	17914
1986,	23661,	15550,	36002,	9583,	7472,	12290,	0.801,	0.606,	1.059,	8921,	7047,	11293
1987,	22452,	14836,	33978,	8041,	6335,	10206,	0.974,	0.757,	1.255,	8740,	6873,	11113
1988,	19342,	12732,	29386,	6734,	5318,	8528,	1.069,	0.83,	1.378,	8028,	6283,	10257
1989,	17855,	11788,	27046,	5647,	4445,	7174,	0.942,	0.722,	1.23,	6362,	5000,	8096
1990,	17010,	11256,	25706,	5519,	4334,	7028,	0.838,	0.631,	1.113,	5771,	4513,	7379
1991,	14529,	9493,	22237,	5532,	4325,	7076,	0.911,	0.681,	1.22,	6120,	4759,	7869
1992,	18610,	12242,	28288,	5164,	3969,	6718,	0.733,	0.531,	1.012,	4534,	3553,	5787
1993,	23617,	15345,	36348,	4237,	3213,	5587,	0.785,	0.552,	1.115,	4236,	3336,	5380
1994,	22293,	14525,	34214,	4388,	3269,	5891,	0.49,	0.328,	0.731,	3251,	2542,	4158
1995,	21952,	14295,	33710,	6206,	4546,	8472,	0.394,	0.261,	0.594,	3229,	2512,	4150
1996,	21407,	13911,	32942,	6457,	4742,	8793,	0.426,	0.28,	0.649,	3545,	2770,	4536
1997,	25246,	16426,	38804,	7218,	5240,	9944,	0.403,	0.265,	0.613,	4000,	3138,	5100
1998,	28177,	18139,	43770,	7688,	5543,	10662,	0.371,	0.243,	0.568,	3628,	2850,	4619
1999,	24461,	15793,	37888,	8251,	5983,	11378,	0.273,	0.179,	0.418,	3146,	2446,	4045
2000,	19655,	12722,	30369,	10188,	7423,	13982,	0.342,	0.228,	0.513,	4589,	3597,	5856
2001,	13816,	8987,	21238,	9715,	7032,	13422,	0.413,	0.278,	0.614,	4835,	3816,	6126
2002,	9056,	5720,	14338,	8104,	5689,	11546,	0.358,	0.24,	0.536,	3180,	2531,	3995
2003,	10497,	6771,	16272,	7325,	5081,	10560,	0.326,	0.218,	0.486,	2673,	2132,	3349
2004,	14273,	9199,	22145,	6288,	4260,	9282,	0.3,	0.199,	0.453,	1954,	1563,	2444
2005,	15272,	9785,	23836,	5177,	3514,	7628,	0.264,	0.174,	0.4,	1540,	1235,	1921
2006,	12409,	7985,	19282,	5480,	3766,	7974,	0.288,	0.189,	0.438,	1929,	1533,	2426
2007,	9770,	6266,	15234,	5660,	3914,	8183,	0.25,	0.163,	0.384,	1700,	1341,	2156
2008,	10426,	6696,	16233,	4747,	3262,	6909,	0.221,	0.145,	0.337,	1236,	975,	1567
2009,	9967,	6397,	15529,	4483,	3034,	6625,	0.112,	0.073,	0.171,	582,	462,	733
2010,	11688,	7364,	18551,	4398,	2976,	6499,	0.082,	0.054,	0.125,	422,	333,	534
2011,	8457,	5419,	13197,	4928,	3313,	7330,	0.101,	0.068,	0.149,	536,	430,	668
2012,	6713,	4302,	10475,	5365,	3641,	7907,	0.115,	0.078,	0.171,	680,	543,	852
2013,	4972,	3024,	8176,	5488,	3701,	8139,	0.171,	0.116,	0.251,	985,	786,	1234
2014,	9406,	6032,	14667,	4534,	2964,	6935,	0.171,	0.115,	0.253,	725,	583,	903
2015,	13023,	8101,	20936,	3775,	2460,	5792,	0.18,	0.122,	0.266,	716,	578,	887
2016,	19761,	10094,	38686,	4219,	2766,	6436,	0.159,	0.105,	0.24,	717,	566,	908
