"","Z.obs","low.80%","high.80%"
"1956",NA,NA,NA
"1957",NA,NA,NA
"1958",NA,NA,NA
"1959",NA,NA,NA
"1960",NA,NA,NA
"1961",NA,NA,NA
"1962",NA,NA,NA
"1963",NA,NA,NA
"1964",NA,NA,NA
"1965",NA,NA,NA
"1966",NA,NA,NA
"1967",NA,NA,NA
"1968",NA,NA,NA
"1969",NA,NA,NA
"1970",NA,NA,NA
"1971",NA,NA,NA
"1972",NA,NA,NA
"1973",NA,NA,NA
"1974",NA,NA,NA
"1975",NA,NA,NA
"1976",NA,NA,NA
"1977",NA,NA,NA
"1978",NA,NA,NA
"1979",NA,NA,NA
"1980",NA,NA,NA
"1981",2.27869754089237,NA,NA
"1982",0.91562437191994,NA,NA
"1983",0.511269539322694,-0.129328277444193,1.15186735608958
"1984",1.54024221525254,1.06237280878496,2.01811162172012
"1985",0.839826384532686,0.688968872716535,0.990683896348838
"1986",0.662055979737187,0.39872796986722,0.925383989607153
"1987",0.991267410735451,0.660174478079573,1.32236034339133
"1988",0.577118462854221,0.240035377342241,0.914201548366201
"1989",0.829889277038995,0.510522998410007,1.14925555566798
"1990",0.769830480724964,0.565880339915211,0.973780621534717
"1991",0.327696721864603,0.207789347711922,0.447604096017285
"1992",0.204672350948802,-0.199781840943606,0.60912654284121
"1993",0.478882457257311,0.100814151081961,0.856950763432661
"1994",1.31618354776134,-0.544407692351163,3.17677478787383
"1995",0.56735900174116,0.470500017639076,0.664217985843245
"1996",0.532795899417164,0.207690475873404,0.857901322960925
"1997",0.280780464706604,0.13094275111983,0.430618178293379
"1998",0.871078416246565,0.717578976653365,1.02457785583976
"1999",0.47842088663417,0.257946770874266,0.698895002394073
"2000",0.38321181467124,0.192364959128709,0.57405867021377
"2001",0.356145808107048,0.0104188918553341,0.701872724358762
"2002",0.593049668808686,0.538220882693551,0.647878454923822
"2003",0.606990103496642,0.378959660897318,0.835020546095966
"2004",1.15818502982435,0.697982084282409,1.61838797536629
"2005",1.19957437592427,0.864778527335856,1.53437022451268
"2006",0.790025443290407,0.64958354608243,0.930467340498383
"2007",1.02424348285881,0.741716062140002,1.30677090357762
"2008",0.877649722800922,0.587533406296048,1.1677660393058
"2009",0.155891606928239,-0.499469851096459,0.811253064952938
"2010",1.07257643438156,NA,NA
"2011",0.520239318848866,NA,NA
"2012",NA,NA,NA
"2013",NA,NA,NA
"2014",NA,NA,NA
"2015",NA,NA,NA
"2016",NA,NA,NA
"2017",NA,NA,NA
"2018",NA,NA,NA
"2019",NA,NA,NA
