year,	fleet,	age,	logObs,	pred,	predSd
2012,	2,	2,	0.0769610411361284,	2.11660243624842,	0.829230708390785
2012,	2,	3,	0.582215619852664,	1.91576307580017,	0.778034440733041
2012,	2,	4,	3.00864849882054,	4.01551548958385,	0.761500771051277
2012,	2,	5,	1.22671229129543,	2.03580068411123,	0.753990600561975
2012,	2,	6,	-0.867500567704723,	0.147376803256189,	0.753717410289917
2012,	2,	7,	-1.20397280432594,	-0.407167607413361,	0.75517823999912
2012,	2,	8,	-2.40794560865187,	-0.957709704006369,	0.752142943396645
2012,	3,	2,	0.0953101798043249,	1.19660706893108,	0.941180619935933
2012,	3,	3,	2.64617479738412,	1.81209766688456,	0.89649440017503
2012,	3,	4,	3.05352937228021,	3.96867647981434,	0.882395382329674
2012,	3,	5,	0.548121408509688,	2.10484474954079,	0.875810625270522
2012,	3,	6,	-0.400477566597125,	0.492145650145154,	0.875512390678225
2012,	3,	7,	-1.83258146374831,	0.187210626225777,	0.880263601920424
2012,	3,	8,	-3.2188758248682,	-0.363331470367229,	0.87777343039221
2013,	2,	2,	3.48492559719287,	2.97300578897272,	0.902482853517522
2013,	2,	3,	2.03861954715958,	2.65831807337385,	0.84398912465275
2013,	2,	4,	1.76985463384001,	1.89759943359136,	0.804847233631013
2013,	2,	5,	2.23751309625033,	3.52790068979468,	0.789110089031241
2013,	2,	6,	-0.478035800943,	1.58043652199429,	0.779802997173856
2013,	2,	7,	-1.46967597005894,	-0.592653160289489,	0.781743775427777
2013,	2,	8,	-2.81341071676004,	-0.78926710605268,	0.778046752994329
2013,	3,	2,	2.09309786812732,	2.05329535562152,	1.00714987676918
2013,	3,	3,	1.79840401194672,	2.55409978709051,	0.95570757743708
2013,	3,	4,	2.30757263450508,	1.85121965647145,	0.921250744338826
2013,	3,	5,	2.70671597808907,	3.59874318667167,	0.907311395541409
2013,	3,	6,	0.53062825106217,	1.9290920425008,	0.89869574684265
2013,	3,	7,	-0.891598119283784,	0.00629928085805433,	0.903318218198295
2013,	3,	8,	-2.52572864430826,	-0.190314664905138,	0.900105651285106
2014,	2,	2,	1.45395300959371,	2.5789833470956,	1.00718258437454
2014,	2,	3,	2.96475746925456,	3.72342099389145,	0.932363434866583
2014,	2,	4,	0.966983846189673,	2.46798009250966,	0.879335268140246
2014,	2,	5,	1.17557332980424,	1.43133586118134,	0.845594442311378
2014,	2,	6,	1.76814960358892,	2.85736991890084,	0.829556032637751
2014,	2,	7,	-0.755022584278033,	0.946682218097019,	0.812132370749569
2014,	2,	8,	-1.96611285637283,	-0.720618623117705,	0.804406866025671
