"","R","Low","High","SSB","Low","High","Catch","Low","High","Fbar","Low","High"
"1987",4503386.46170132,3355176.74176769,5800618.22408584,151141.77507575,121685.064177547,185010.965915636,79810.0811188325,56160.9338907582,113658.001818604,0.339966727312805,0.179713416833104,0.717388303889685
"1988",6856965.20212467,5119431.85951785,9225213.20354974,159898.325098981,126839.063020796,199890.735794023,62919.830637237,52164.8549121874,76287.7377357536,0.4917002703421,0.30590231174778,0.802532108005265
"1989",10279541.6196177,7501995.26658373,14323821.2378993,201553.484781492,159509.548737003,259438.377089733,63301.30100884,51074.4587796262,80895.9552937511,0.702621094335578,0.450350671844368,1.1608574319562
"1990",12536666.4915966,8674523.84937662,17968130.3730916,232135.533139396,173546.529327329,308405.540711134,81555.3517732705,69386.7936899818,96799.7596957822,0.99492090043924,0.671036642280934,1.60570151620454
"1991",10297750.9866947,7176284.81090123,15489583.2957062,354355.015182539,251548.036293795,481930.828286451,90205.8276270703,76050.0052483367,108303.808169729,1.33452502190883,0.923103991507062,1.88882684322069
"1992",7226256.39081287,4976205.23778738,10573587.7830783,640258.389688232,437367.597137732,884006.160001904,92645.8282374391,75947.3653724646,109310.207397305,1.33171701631306,0.864582504738384,2.03639171096455
"1993",6077689.19714912,4270427.76080335,8752803.08759317,819768.702062892,542323.035635591,1176938.80195368,87980.1373147068,76451.2642483051,101795.049221265,0.831186244292081,0.536981260881094,1.41986557795368
"1994",7734289.34129305,5366078.76476065,10661216.8671885,757900.218074651,493467.139312731,1076008.2511544,83471.5582250626,69954.6588128409,98487.1580411614,0.414232125773271,0.222429562803171,0.86013528047115
"1995",20194936.7691009,14611328.617166,27951797.0828359,805026.940242162,519664.46919469,1178230.25914631,100441.192260895,84335.4575817364,121942.10876292,0.224430065268298,0.119361674923526,0.464156851056634
"1996",10304091.1516628,7342771.19403209,14935977.2205173,836698.03639053,545125.579749226,1213661.055665,135446.399346785,111210.628377191,169991.558912596,0.149444902580736,0.0778588338420559,0.305990293978599
"1997",8988734.59306727,6293649.4487052,12577136.420427,1385141.71257158,928570.156104458,1962359.40271254,137287.077697348,112669.221293367,170641.746976028,0.106119474863107,0.0528738887657633,0.209253868423795
"1998",5441447.63240754,3882069.1446634,7980216.01922303,1202815.82145343,787653.44622904,1742972.01514274,114398.601471119,98541.7895171439,135260.918204251,0.0743577619775958,0.0393875374903219,0.139164382241371
"1999",11785830.824614,8414929.36866906,16609077.3254885,1085385.17626487,697796.807883856,1578403.00874746,105347.202785624,89709.7269757813,123310.736622132,0.058868715907459,0.0317070980941198,0.118000113226631
"2000",4896621.95834979,3491382.51829406,6970020.84625234,1221279.66899423,779988.418695296,1779771.01261265,121043.226083398,103784.464789899,146100.93637902,0.0615160568840011,0.0338132948089517,0.114863681466248
"2001",5158859.91720235,3659605.66496634,7120916.56384482,1311844.08570692,868289.014109003,1877959.90434596,121387.733499893,103015.176618523,143451.620823456,0.0709092622233361,0.0417996124026831,0.127213144884451
"2002",10155795.8030085,7120189.22334699,14108070.5658493,1014983.14048454,659454.629851639,1482832.49972154,104869.428761704,87941.3602672855,127116.851923828,0.0709373432081427,0.0392955790629511,0.127419570378829
"2003",11934606.9968488,8210253.62838041,16397198.6718691,940998.6632956,609245.222071441,1388937.44591931,106265.636112532,91262.7195509038,124860.325120652,0.0552279908150448,0.029995115208729,0.0924794012815197
"2004",6396348.32101408,4492632.33522154,9019558.69335273,951055.379604069,614228.839663592,1410613.5183788,107448.534488983,88699.5335577681,131381.234236128,0.0408578600669279,0.0199253434347849,0.0686493096433596
"2005",4315383.09376975,3090597.16441147,6062301.11860931,1002069.05742994,647743.711395824,1474523.64837039,115864.547849767,97454.8057459502,140725.734769306,0.0353170042497584,0.0186195324164866,0.061183012598693
"2006",7958546.79819373,5756155.80952879,10981180.8924838,983035.764863348,632768.799348037,1440838.95904223,120244.807229779,101735.669254286,151830.13158515,0.035543445623449,0.0194249284841312,0.0659254899864623
"2007",2906427.2238086,2057478.73245934,4362970.81484093,982315.756077332,617710.665591115,1458288.35176661,120641.406868737,96822.9092176911,153863.203539701,0.0438286546574377,0.0242311215775577,0.0841064769906986
"2008",7289234.29505721,4957871.89192625,10370123.5141008,857831.57721036,542874.386479791,1270599.95054886,105509.260881208,89799.7918325469,124762.247908246,0.0534489706972712,0.0294493709075472,0.0970014359278279
"2009",23265649.5526777,15770271.0040763,35408914.077486,727194.755789103,449080.751342022,1101902.78829006,87415.4062997116,73846.3605256818,106289.279472269,0.051872426930895,0.0265875602595652,0.0966178175840589
"2010",3409520.17156975,2147240.3780162,5080917.00029595,685434.208699561,425576.594219148,1031133.39093636,73176.838579818,60654.0169271026,89021.8340944546,0.0354576408944459,0.0191213568950734,0.0669753191085074
"2011",4573308.46345557,2802967.66165291,7424829.64664447,848571.793199702,560883.606594765,1264280.15361817,83045.0841416128,67478.4856637787,105777.375813148,0.0217577209900366,0.0112953549113902,0.0394686921823144
"2012",10551199.9876783,6475195.98976923,17522353.3102905,1007459.15910104,666894.836930076,1517960.37953533,71083.7562622786,58807.4510124885,86904.5387797721,0.0182667607020293,0.00891972361970268,0.0324383757912964
"2013",6453359.39137972,3539641.0298732,11122321.2739253,908352.397023091,585371.03873541,1393353.11973541,89918.4491892924,73839.6543740338,110842.853253136,0.0215917677812097,0.0116579493791956,0.0382177831917182
"2014",8233289.75482235,4397953.64085748,15789813.0845156,1055148.00808815,683583.677776425,1642490.1357954,106993.790496596,83096.6579214844,142866.033188593,0.0319762858119414,0.0148181814936545,0.0650861222727174
